US2022,Mgtons C
0,-513.2
6,-87.3
12,-86.2
18,-85.2
24,-84.1
29,-83.1
35,-82.1
41,-81.0
47,-80.0
53,-78.9
59,-77.9
65,-76.9
71,-75.8
77,-74.8
83,-73.7
88,-72.7
94,-71.7
100,-70.6
106,-69.6
112,-68.5
118,-67.5
124,-66.5
130,-65.4
136,-64.4
142,-63.3
147,-62.3
153,-61.2
159,-60.2
165,-59.2
171,-58.1
177,-57.1
183,-56.0
189,-55.0
195,-54.0
201,-52.9
206,-51.9
212,-50.8
218,-49.8
224,-48.8
230,-47.7
236,-46.7
242,-45.6
248,-44.6
254,-43.6
259,-42.5
265,-41.5
271,-40.4
277,-39.4
283,-38.4
289,-37.3
295,-36.3
301,-35.2
307,-34.2
313,-33.2
318,-32.1
324,-31.1
330,-30.0
