C2F6 $/kt,C2F6 kt/year,CF4 $/kt,CF4 kt/year,HFC125 $/kt,HFC125 kt/year,HFC134a $/kt,HFC134a kt/year,HFC143a $/kt,HFC143a kt/year,SF6 $/kt,SF6 kt/year
449278,0,272145,0,128891,0,52661,0,164613,0,839635,0
898557,0.703196742,544290,1.440355797,257783,0,105323,18.46396487,329225,0,1679270,1.072577876
1347835,0.891395215,816435,1.981148742,386674,8.501417548,157984,18.62360738,493838,6.123114216,2518905,0.391657573
1797114,0.612099021,1088580,1.377531285,515565,7.383974429,210645,14.77040148,658451,5.319454569,3358540,0.196879434
2246392,0.446289375,1360724,1.0133099,644457,6.20550172,263307,12.00092139,823063,4.470589493,4198175,0.118466034
2695671,0.339816462,1632869,0.776672813,773348,5.288303539,315968,9.94360034,987676,3.809899751,5037810,0.079118851
3144949,0.267385276,1905014,0.614261207,902239,4.56046005,368629,8.373543952,1152289,3.285593128,5877446,0.056582928
3594227,0.215881601,2177159,0.497970689,1031131,3.973204414,421291,7.148136983,1316901,2.862548975,6717081,0.042475245
4043506,0.177951584,2449304,0.411848273,1160022,3.492519526,473952,6.173383401,1481514,2.516267959,7556716,0.033058876
4492784,0.149210668,2721449,0.346289535,1288914,3.094090028,526613,5.385286128,1646127,2.229237342,8396351,0.026461336
4942063,0.126912385,2993594,0.295230395,1417805,2.760161136,579275,4.739047342,1810739,1.988669106,9235986,0.021659602
5391341,0.109265019,3265739,0.254688611,1546696,2.477523248,631936,4.20254793,1975352,1.785048655,10075621,0.018056148
5840619,0.095059217,3537883,0.22196123,1675588,2.236183683,684597,3.752272169,2139965,1.611178286,10915256,0.015282882
6289898,0.083454709,3810028,0.195161201,1804479,2.02847025,737259,3.370682941,2304577,1.461531608,11754891,0.013102972
6739176,0.073852917,4082173,0.172938655,1933370,1.848413307,789920,3.044486006,2469190,1.331808513,12594526,0.011358419
7188455,0.06581807,4354318,0.154307293,2062262,1.691311654,842581,2.763455039,2633803,1.218622521,13434161,0.009940529
7637733,0.059026804,4626463,0.138532881,2191153,1.553422292,895242,2.519619536,2798415,1.119277341,14273796,0.008772537
8087012,0.05323508,4898608,0.125059707,2320044,1.431735237,947904,2.306692909,2963028,1.031604678,15113431,0.007798978
8536290,0.048255919,5170753,0.113460908,2448936,1.323807756,1000565,2.119662884,3127641,0.953844842,15953067,0.006978964
8985568,0.043944112,5442898,0.103404213,2577827,1.22764074,1053226,1.954493609,3292253,0.884557699,16792702,0.00628182
9434847,0.040185499,5715042,0.09462785,2706718,1.141585417,1105888,1.807905957,3456866,0.82255548,17632337,0.005684165
9884125,0.03688933,5987187,0.086923333,2835610,1.064272168,1158549,1.677213418,3621479,0.766851504,18471972,0.005167929
10333404,0.03398273,6259332,0.080122952,2964501,0.994555672,1211210,1.560198059,3786091,0.716620669,19311607,0.004718965
10782682,0.031406637,6531477,0.074090563,3093392,0.931472225,1263872,1.455015761,3950704,0.671168702,20151242,0.004326071
11231961,0.029112771,6803622,0.068714719,3222284,0.874206239,1316533,1.360123073,4115317,0.629908032,20990877,0.003980284
11681239,0.027061359,7075767,0.06390348,3351175,0.822063743,1369194,1.274220252,4279929,0.592338701,21830512,0.003674362
12130517,0.025219395,7347912,0.059580457,3480066,0.77445125,1421856,1.196206493,4444542,0.558033137,22670147,0.003402405
12579796,0.023559304,7620057,0.055681755,3608958,0.730858789,1474517,1.125144479,4609155,0.526623934,23509782,0.003159563
13029074,0.022057906,7892201,0.052153602,3737849,0.690846187,1527178,1.060232082,4773767,0.497793971,24349417,0.002941824
13478353,0.020695599,8164346,0.048950482,3866741,0.654031913,1579840,1.000779625,4938380,0.471268371,25189052,0.002745843
13927631,0.019455716,8436491,0.04603366,3995632,0.620083943,1632501,0.946191474,5102993,0.446807926,26028687,0.002568815
14376909,0.018324015,8708636,0.043370002,4124523,0.588712251,1685162,0.895951066,5267605,0.42420368,26868323,0.002408372
14826188,0.017288267,8980781,0.040931036,4253415,0.559662585,1737824,0.849608632,5432218,0.403272456,27707958,0.002262506
15275466,0.016337923,9252926,0.038692181,4382306,0.532711306,1790485,0.806771098,5596831,0.383853126,28547593,0.002129502
15724745,0.015463843,9525071,0.036632128,4511197,0.507661065,1843146,0.767093719,5761443,0.365803507,29387228,0.002007891
