Bid price $/MtonN20,Bid qty Mton N20
0,90.14224927
20,15.02747212
40,12.63785523
60,10.77708798
80,9.299837646
100,8.10748559
120,7.13119733
140,6.321743139
160,5.643158788
180,5.068675445
200,4.578035617
220,4.155680713
240,3.789501093
260,3.469957556
280,3.189453274
300,2.941877757
320,2.722271021
340,2.526573083
360,2.351434851
380,2.194073808
400,2.052162758
420,1.923743252
440,1.807157625
460,1.700995216
480,1.60404948
500,1.51528354
520,1.433802342
540,1.358829998
560,1.289691237
580,1.225796146
600,1.166627541
620,1.111730466
640,1.06070342
660,1.013190993
680,0.968877656
700,0.927482514
720,0.88875484
740,0.852470267
760,0.818427533
780,0.786445681
800,0.756361654
820,0.728028206
840,0.7013121
860,0.67609254
880,0.652259799
900,0.629714026
920,0.608364198
940,0.588127198
960,0.568927009
980,0.550693993
1000,0.533364265
1020,0.516879126
1040,0.501184571
1060,0.486230843
1080,0.471972039
1100,0.458365756
1120,0.445372778
1140,0.432956791
1160,0.421084129
1180,0.409723547
1200,0.398846013
1220,0.388424524
1240,0.37843394
1260,0.368850827
1280,0.359653323
1300,0.350821014
1320,0.342334819
1340,0.334176886
1360,0.326330502
1380,0.31878
1400,0.311510689
1420,0.304508778
1440,0.297761311
1460,0.291256107
1480,0.284981704
1500,0.278927314
1520,0.273082767
1540,0.267438478
1560,0.2619854
1580,0.256714994
1600,0.25161919
1620,0.246690361
1640,0.241921289
1660,0.237305145
1680,0.232835459
1700,0.2285061
1720,0.224311256
1740,0.22024541
1760,0.216303327
1780,0.212480034
1800,0.208770807
1820,0.205171152
1840,0.201676796
1860,0.198283671
1880,0.194987904
1900,0.191785807
1920,0.188673862
1940,0.185648718
1960,0.182707176
1980,0.179846182
2000,0.177062824
2020,0.174354317
2040,0.171718001
2060,0.169151334
2080,0.166651883
2100,0.164217321
2120,0.161845422
2140,0.159534054
2160,0.157281174
2180,0.155084825
2200,0.152943132
2220,0.150854296
2240,0.148816592
2260,0.146828364
2280,0.144888025
2300,0.142994047
2320,0.141144966
2340,0.139339374
2360,0.137575918
2380,0.135853297
2400,0.134170259
2420,0.132525601
2440,0.130918165
2460,0.129346836
2480,0.127810541
2500,0.126308246
2520,0.124838955
2540,0.123401709
2560,0.121995581
2580,0.120619681
2600,0.119273148
2620,0.117955152
2640,0.116664893
2660,0.115401597
2680,0.114164518
2700,0.112952937
2720,0.111766157
2740,0.110603506
2760,0.109464333
2780,0.108348012
2800,0.107253935
2820,0.106181515
2840,0.105130184
2860,0.104099393
2880,0.10308861
2900,0.10209732
2920,0.101125027
2940,0.100171246
2960,0.099235512
2980,0.098317372
3000,0.097416387
3020,0.096532133
3040,0.095664199
3060,0.094812184
3080,0.093975702
3100,0.093154378
3120,0.092347848
3140,0.091555758
3160,0.090777766
3180,0.090013539
3200,0.089262755
3220,0.0885251
3240,0.087800269
3260,0.087087967
3280,0.086387908
3300,0.085699811
3320,0.085023407
3340,0.084358431
3360,0.083704628
3380,0.083061748
3400,0.08242955
3420,0.081807798
3440,0.081196264
3460,0.080594725
3480,0.080002964
3500,0.07942077
3520,0.078847939
3540,0.07828427
3560,0.077729569
3580,0.077183648
3600,0.076646321
3620,0.076117409
3640,0.075596737
3660,0.075084136
3680,0.074579439
3700,0.074082484
3720,0.073593115
3740,0.073111176
3760,0.07263652
3780,0.072168999
3800,0.071708471
3820,0.071254799
3840,0.070807845
3860,0.070367478
3880,0.06993357
3900,0.069505995
3920,0.06908463
3940,0.068669355
3960,0.068260053
3980,0.067856612
4000,0.067458918
