Year,Tonnes/hectare/year Loblolly pine,Tonnes/hectare/year Ponderosa pine,Tonnes/hectare/year Black walnut,Tonnes/hectare/year Loblolly pine  10 yr,Tonnes/hectare/year Ponderosa pine  10 yr,Tonnes/hectare/year Black walnut  10 yr,Tonnes/hectare/year Loblolly pine  24 yr,Tonnes/hectare/year Ponderosa pine  103 yr,Tonnes/hectare/year Black walnut  55 yr
0,0,0,0,0,0,0,0,0,0
1,0.750967271,0.493172536,0.591807043,0.750967271,0.493172536,0.591807043,0.750967271,0.493172536,0.591807043
2,1.501934542,0.986345072,1.183614086,1.501934542,0.986345072,1.183614086,1.501934542,0.986345072,1.183614086
3,2.252901812,1.479517608,1.77542113,2.252901812,1.479517608,1.77542113,2.252901812,1.479517608,1.77542113
4,3.003869083,1.972690144,2.367228173,3.003869083,1.972690144,2.367228173,3.003869083,1.972690144,2.367228173
5,3.754836354,2.46586268,2.959035216,3.754836354,2.46586268,2.959035216,3.754836354,2.46586268,2.959035216
6,4.304051224,2.47931284,2.990418923,4.304051224,2.47931284,2.990418923,4.304051224,2.47931284,2.990418923
7,4.853266093,2.495004694,3.02180263,4.853266093,2.495004694,3.02180263,4.853266093,2.495004694,3.02180263
8,5.402480963,2.508454854,3.053186337,5.402480963,2.508454854,3.053186337,5.402480963,2.508454854,3.053186337
9,5.951695833,2.521905014,3.084570044,5.951695833,2.521905014,3.084570044,5.951695833,2.521905014,3.084570044
10,6.500910702,2.537596867,3.11595375,6.500910702,2.537596867,3.11595375,6.500910702,2.537596867,3.11595375
11,7.050125572,2.551047027,3.149579151,0,0,0,7.050125572,2.551047027,3.149579151
12,7.599340442,2.566738881,3.180962857,0,0,0,7.599340442,2.566738881,3.180962857
13,8.148555311,2.580189041,3.212346564,0,0,0,8.148555311,2.580189041,3.212346564
14,8.697770181,2.593639201,3.243730271,0,0,0,8.697770181,2.593639201,3.243730271
15,9.246985051,2.609331054,3.275113978,0,0,0,9.246985051,2.609331054,3.275113978
16,9.79619992,2.622781214,3.306497685,0,0,0,9.79619992,2.622781214,3.306497685
17,9.403903585,2.752799428,3.335639698,0,0,0,9.403903585,2.752799428,3.335639698
18,9.011607249,2.882817642,3.362540018,0,0,0,9.011607249,2.882817642,3.362540018
19,8.619310914,3.012835856,3.391682032,0,0,0,8.619310914,3.012835856,3.391682032
20,8.227014578,3.142854071,3.418582352,0,0,0,8.227014578,3.142854071,3.418582352
21,7.834718243,3.272872285,3.447724366,0,0,0,7.834718243,3.272872285,3.447724366
22,7.442421907,3.402890499,3.474624686,0,0,0,7.442421907,3.402890499,3.474624686
23,7.050125572,3.532908713,3.503766699,0,0,0,7.050125572,3.532908713,3.503766699
24,6.657829236,3.662926927,3.530667019,0,0,0,6.657829236,3.662926927,3.530667019
25,6.265532901,3.792945141,3.559809033,0,0,0,0,3.792945141,3.559809033
26,5.873236565,3.922963355,3.586709353,0,0,0,0,3.922963355,3.586709353
27,5.718559725,3.972280608,3.573259193,0,0,0,0,3.972280608,3.573259193
28,5.563882884,4.021597862,3.562050726,0,0,0,0,4.021597862,3.562050726
29,5.409206043,4.073156809,3.548600566,0,0,0,0,4.073156809,3.548600566
30,5.254529202,4.122474063,3.537392099,0,0,0,0,4.122474063,3.537392099
31,5.102094055,4.171791316,3.523941939,0,0,0,0,4.171791316,3.523941939
32,4.947417214,4.22110857,3.512733473,0,0,0,0,4.22110857,3.512733473
33,4.792740373,4.272667517,3.499283312,0,0,0,0,4.272667517,3.499283312
34,4.638063532,4.32198477,3.488074846,0,0,0,0,4.32198477,3.488074846
35,4.483386691,4.371302024,3.474624686,0,0,0,0,4.371302024,3.474624686
36,4.407169117,4.456486371,3.474624686,0,0,0,0,4.456486371,3.474624686
37,4.330951544,4.541670718,3.474624686,0,0,0,0,4.541670718,3.474624686
38,4.25473397,4.626855065,3.474624686,0,0,0,0,4.626855065,3.474624686
39,4.178516396,4.712039412,3.474624686,0,0,0,0,4.712039412,3.474624686
40,4.102298822,4.79722376,3.474624686,0,0,0,0,4.79722376,3.474624686
41,4.026081249,4.882408107,3.474624686,0,0,0,0,4.882408107,3.474624686
42,3.949863675,4.967592454,3.474624686,0,0,0,0,4.967592454,3.474624686
43,3.873646101,5.052776801,3.474624686,0,0,0,0,5.052776801,3.474624686
44,3.797428527,5.137961148,3.474624686,0,0,0,0,5.137961148,3.474624686
45,3.721210954,5.223145495,3.474624686,0,0,0,0,5.223145495,3.474624686
46,3.674135393,5.261254282,3.452207752,0,0,0,0,5.261254282,3.452207752
47,3.627059833,5.299363069,3.429790819,0,0,0,0,5.299363069,3.429790819
48,3.579984273,5.337471856,3.407373885,0,0,0,0,5.337471856,3.407373885
49,3.532908713,5.375580643,3.384956952,0,0,0,0,5.375580643,3.384956952
50,3.485833152,5.41368943,3.362540018,0,0,0,0,5.41368943,3.362540018
51,3.438757592,5.451798216,3.340123085,0,0,0,0,5.451798216,3.340123085
52,3.391682032,5.489907003,3.317706151,0,0,0,0,5.489907003,3.317706151
53,3.344606472,5.52801579,3.295289218,0,0,0,0,5.52801579,3.295289218
54,3.297530911,5.566124577,3.272872285,0,0,0,0,5.566124577,3.272872285
55,3.250455351,5.604233364,3.250455351,0,0,0,0,5.604233364,3.250455351
56,3.08232835,5.684934324,3.234763498,0,0,0,0,5.684934324,0
57,2.911959656,5.767876978,3.219071644,0,0,0,0,5.767876978,0
58,2.743832655,5.848577939,3.205621484,0,0,0,0,5.848577939,0
59,2.573463961,5.929278899,3.189929631,0,0,0,0,5.929278899,0
60,2.40533696,6.012221553,3.174237777,0,0,0,0,6.012221553,0
61,2.234968266,6.092922513,3.158545924,0,0,0,0,6.092922513,0
62,2.066841265,6.175865167,3.142854071,0,0,0,0,6.175865167,0
63,1.89647257,6.256566128,3.127162217,0,0,0,0,6.256566128,0
64,1.728345569,6.337267088,3.113712057,0,0,0,0,6.337267088,0
65,1.557976875,6.420209742,3.098020204,0,0,0,0,6.420209742,0
66,1.389849874,6.500910702,3.08232835,0,0,0,0,6.500910702,0
67,1.309148914,6.451593449,3.033011097,0,0,0,0,6.451593449,0
68,1.230689647,6.402276195,2.985935536,0,0,0,0,6.402276195,0
69,1.149988686,6.350717248,2.936618283,0,0,0,0,6.350717248,0
70,1.071529419,6.301399994,2.887301029,0,0,0,0,6.301399994,0
71,0.990828459,6.252082741,2.840225469,0,0,0,0,6.252082741,0
