Bid price $/MtonN20,Bid qty Mton N20
0,1.646
20,0.603
40,0.484
60,0.398
80,0.332
100,0.282
120,0.242
140,0.211
160,0.185
180,0.163
200,0.146
220,0.131
240,0.118
260,0.107
280,0.097
300,0.089
320,0.082
340,0.075
360,0.07
380,0.065
400,0.06
420,0.056
440,0.053
460,0.049
480,0.047
500,0.044
520,0.041
540,0.039
560,0.037
580,0.035
600,0.033
620,0.032
640,0.03
660,0.029
680,0.028
700,0.026
720,0.025
740,0.024
760,0.023
780,0.022
800,0.022
820,0.021
840,0.02
860,0.019
880,0.019
900,0.018
920,0.017
940,0.017
960,0.016
980,0.016
1000,0.015
1020,0.015
1040,0.014
1060,0.014
1080,0.014
1100,0.013
1120,0.013
1140,0.013
1160,0.012
1180,0.012
1200,0.012
1220,0.011
1240,0.011
1260,0.011
1280,0.011
1300,0.01
1320,0.01
1340,0.01
1360,0.01
1380,0.01
1400,0.009
1420,0.009
1440,0.009
1460,0.009
1480,0.009
1500,0.008
1520,0.008
1540,0.008
1560,0.008
1580,0.008
1600,0.008
1620,0.008
1640,0.008
1660,0.007
1680,0.007
1700,0.007
1720,0.007
1740,0.007
1760,0.007
1780,0.007
1800,0.007
1820,0.007
1840,0.006
1860,0.006
1880,0.006
1900,0.006
1920,0.006
1940,0.006
1960,0.006
1980,0.006
2000,0.006
2020,0.006
2040,0.006
2060,0.006
2080,0.006
2100,0.005
2120,0.005
2140,0.005
2160,0.005
2180,0.005
2200,0.005
2220,0.005
2240,0.005
2260,0.005
2280,0.005
2300,0.005
2320,0.005
2340,0.005
2360,0.005
2380,0.005
2400,0.005
2420,0.005
2440,0.005
2460,0.005
2480,0.005
2500,0.004
2520,0.004
2540,0.004
2560,0.004
2580,0.004
2600,0.004
2620,0.004
2640,0.004
2660,0.004
2680,0.004
2700,0.004
2720,0.004
2740,0.004
2760,0.004
2780,0.004
2800,0.004
2820,0.004
2840,0.004
2860,0.004
2880,0.004
2900,0.004
2920,0.004
2940,0.004
2960,0.004
2980,0.004
3000,0.004
3020,0.004
3040,0.004
3060,0.004
3080,0.004
3100,0.004
3120,0.004
3140,0.004
3160,0.004
3180,0.004
3200,0.004
3220,0.004
3240,0.004
3260,0.003
3280,0.003
3300,0.003
3320,0.003
3340,0.003
3360,0.003
3380,0.003
3400,0.003
3420,0.003
3440,0.003
3460,0.003
3480,0.003
3500,0.003
3520,0.003
3540,0.003
3560,0.003
3580,0.003
3600,0.003
3620,0.003
3640,0.003
3660,0.003
3680,0.003
3700,0.003
3720,0.003
3740,0.003
3760,0.003
3780,0.003
3800,0.003
3820,0.003
3840,0.003
3860,0.003
3880,0.003
3900,0.003
3920,0.003
3940,0.003
3960,0.003
3980,0.003
4000,0.003
