$Million/million ha seaweed,Million tons carbon
71,30.29426374
131.3478,30.29426374
191.6957,30.29426374
252.0435,30.29426374
312.3913,30.29426374
372.7391,30.29426374
433.087,30.29426374
493.4348,30.29426374
553.7826,30.29426374
614.1304,30.29426374
674.4783,30.29426374
734.8261,30.29426374
795.1739,30.29426374
855.5217,30.29426374
915.8696,30.29426374
976.2174,30.29426374
1036.5652,30.29426374
1096.913,30.29426374
1157.2609,30.29426374
1217.6087,30.29426374
1277.9565,30.29426374
1338.3043,30.29426374
1398.6522,30.29426374
1459,30.29426374
