Fig1, disc 0.03, temp0 1400.0, tau 2.5, ffi removal, Wpt default, 2025-2125. Solve status Optimal. Total revenue 0.004648462543876519
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mt,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mt,temp change,Capt pi
2025.0,600.43735,2.7777778,2.0,3.0,5.3983,12.2168,131.41534,9165.7067,89.349,173.879,64.3741,2.7777778,2.7777778,2.8888889,0.0,2.7777778,3.1111111,1.8888889,2.2441,727.06233,0.15811588900257656,0.12500000112500034,0.09000000009000025,0.13500000013500038,1.0000000005557301,0.9999999997544365,0.5054436153768397,0.8958041955428503,0.9999999999776159,1.0000000000230047,0.9999999999378636,0.12500000112500034,0.12500000112500034,0.13000000063000036,0.0,0.12500000112500034,0.1399999996400004,0.08500000058500023,1.0000000003119285,1.000000000330095,12.964213,314.46992,4102.1509,2398.1253,-155.81645,-71.206376,-83.025594,-32.410533,-14.870499,-5.0426443,-32.575824,498.76184,4514.376,2008.7175,-5010.6706,259.71782,6694.3177,6744.6979,-292.38459,12.964213,1402.3920378,.
2026.0,600.43735,3.0,2.1111111,3.1111111,5.3983,12.2168,131.41534,9165.7067,89.349,173.879,64.3741,3.0,3.0,3.0,0.0,3.0,3.2222222,1.8888889,2.2441,727.06233,0.15811588900257653,0.13500000013500038,0.09499999959500027,0.1399999996400004,1.0000000005557304,0.9999999997544365,0.5054436153768391,0.8958041955428521,0.9999999999776155,1.0000000000230045,0.9999999999378634,0.13500000013500038,0.13500000013500038,0.13500000013500038,0.0,0.13500000013500038,0.14499999914500042,0.08500000058500023,1.0000000003119291,1.000000000330095,12.964252,314.70743,4081.5042,2402.9385,-155.28475,-71.154806,-83.026133,-32.410631,-14.722116,-5.0394643,-16.431075,499.12019,4516.9281,2010.7215,-5036.8316,259.91442,6626.8564,6677.3307,-260.65995,12.964252,1408.8004647,.
2027.0,600.43735,3.1111111,2.2222222,3.3333333,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.1111111,3.1111111,3.2222222,0.0,3.1111111,3.2222222,2.0,2.2441,727.06233,0.1581158890025766,0.1399999996400004,0.09999999910000028,0.14999999865000044,1.000000000555731,0.9999999997544365,0.5054436153768394,0.8902097945812059,0.9999999999776168,1.0000000000230045,0.9999999999378628,0.1399999996400004,0.1399999996400004,0.14499999914500042,0.0,0.1399999996400004,0.14499999914500042,0.09000000009000025,1.000000000311929,1.000000000330095,12.974386,314.97058,4060.5104,2407.9178,-155.50362,-71.197317,-84.300836,-32.435965,-14.765442,-5.046784,-32.573257,499.54175,4519.5658,2012.8623,-5063.3909,260.13166,6558.0745,6608.6314,-292.24066,12.974386,1420.197149,.
2028.0,600.43735,3.3333333,2.4444444,3.5555556,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.3333333,3.3333333,3.3333333,0.0,3.3333333,3.3333333,2.1111111,2.2441,727.06233,0.15811588900257656,0.14999999865000044,0.10999999811000032,0.16000000216000046,1.0000000005557308,0.9999999997544369,0.5054436153768394,0.8902097945812054,0.9999999999776158,1.0000000000230047,0.9999999999378634,0.14999999865000044,0.14999999865000044,0.14999999865000044,0.0,0.14999999865000044,0.14999999865000044,0.09499999959500027,1.0000000003119294,1.000000000330095,12.984544,315.23359,4039.1545,2413.0691,-155.55182,-71.206901,-84.941247,-32.46136,-14.825148,-5.0465995,-32.556253,499.95817,4522.2832,2015.0058,-5089.7067,260.34889,6488.0666,6538.6884,-292.2766,12.984544,1435.001716,.
2029.0,686.66351,3.4444444,2.5555556,3.6666667,5.3983,12.2168,131.41534,9029.7595,89.349,173.879,64.3741,3.4444444,3.4444444,3.5555556,0.0,3.4444444,3.4444444,2.2222222,2.2441,727.06233,0.18082221455623904,0.15499999815500043,0.11500000211500032,0.16500000166500048,1.0000000005557301,0.9999999997544367,0.5054436153768392,0.8825174871505461,0.9999999999776155,1.0000000000230043,0.999999999937863,0.15499999815500043,0.15499999815500043,0.16000000216000046,0.0,0.15499999815500043,0.15499999815500043,0.09999999910000028,1.0000000003119294,1.000000000330095,13.004736,315.49072,4017.4074,2418.4196,-155.48889,-88.360145,-86.212056,-32.511839,-29.293283,-6.6947458,-32.57908,500.36715,4525.0812,2017.2173,-5116.0394,260.56121,6416.9648,6467.6333,-292.14966,13.004736,1451.987846,.
2030.0,686.66351,3.6666667,2.6666667,3.8888889,5.3983,12.2168,122.1155,9029.7595,89.349,173.879,64.3741,3.6666667,3.6666667,3.6666667,0.0,3.6666667,3.5555556,2.2222222,2.2441,727.06233,0.18082221455623915,0.16500000166500048,0.12000000162000034,0.1750000006750005,1.0000000005557308,0.9999999997544362,0.4696749999927743,0.8825174871505469,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.16500000166500048,0.16500000166500048,0.16500000166500048,0.0,0.16500000166500048,0.16000000216000046,0.09999999910000028,1.0000000003119294,1.000000000330095,13.004809,315.74767,3995.2429,2423.9752,-155.62873,-71.108325,-86.216972,-32.512022,-14.775814,-5.0487805,-32.578279,500.77571,4527.971,2019.5085,-5116.4506,260.77342,6344.9664,6395.663,-292.23064,13.004809,1470.197614,.
2031.0,686.66351,3.8888889,2.7777778,4.1111111,5.3983,12.2168,122.1155,8768.5976,89.349,173.879,64.3741,3.8888889,3.8888889,3.8888889,0.0,3.8888889,3.6666667,2.3333333,2.2441,727.06233,0.18082221455623906,0.1750000006750005,0.12500000112500034,0.1849999996850005,1.0000000005557308,0.9999999997544367,0.4696749999927743,0.8569930040535725,0.9999999999776151,1.0000000000230052,0.9999999999378636,0.1750000006750005,0.1750000006750005,0.1750000006750005,0.0,0.1750000006750005,0.16500000166500048,0.1049999986050003,1.000000000311929,1.000000000330095,13.02498,316.02998,3972.6376,2429.7306,-155.44771,-88.418393,-87.488848,-32.562451,-29.285609,-6.699379,-48.616367,501.24207,4530.9403,2021.9329,-5142.9233,261.00614,6272.1796,6322.8905,-292.18727,13.02498,1489.126779,.
2032.0,686.66351,4.0,2.8888889,4.3333333,5.3983,12.2168,122.1155,8389.3764,89.349,173.879,64.3741,4.0,4.1111111,4.1111111,0.0,4.0,3.7777778,2.4444444,2.2441,727.06233,0.18082221455623906,0.1800000001800005,0.13000000063000036,0.19499999869500054,1.0000000005557304,0.9999999997544365,0.4696749999927744,0.8199300744707647,0.9999999999776155,1.0000000000230045,0.999999999937863,0.1800000001800005,0.1849999996850005,0.1849999996850005,0.0,0.1800000001800005,0.17000000117000047,0.10999999811000032,1.0000000003119283,1.000000000330095,13.025093,316.31764,3949.6009,2435.6646,-155.21264,-71.148382,-88.125371,-32.562733,-14.771536,-5.0414317,-32.543719,501.70503,4534.009,2024.441,-5143.2558,261.24355,6198.6143,6249.3315,-292.23445,13.025093,1508.40011,.
2033.0,686.66351,4.2222222,3.0,4.5555556,5.3983,12.2168,122.1155,8389.3764,89.349,173.879,64.3741,4.2222222,4.2222222,4.3333333,0.0,4.2222222,3.8888889,2.5555556,2.2441,727.06233,0.1808222145562391,0.18999999919000055,0.13500000013500038,0.2050000022050006,1.0000000005557308,0.9999999997544365,0.4696749999927744,0.8199300744707633,0.9999999999776168,1.0000000000230045,0.9999999999378631,0.18999999919000055,0.18999999919000055,0.19499999869500054,0.0,0.18999999919000055,0.1750000006750005,0.11500000211500032,1.0000000003119283,1.000000000330095,13.045252,316.63026,3926.111,2441.8312,-155.38783,-88.378182,-89.401515,-32.613131,-29.292203,-6.6990782,-48.599035,502.22002,4537.1627,2027.0178,-5169.6337,261.50129,6124.2637,6174.9772,-292.15434,13.045252,1527.66306,.
2034.0,686.66351,4.4444444,3.1111111,4.7777778,5.3983,12.2168,122.1155,8324.9803,89.349,173.879,64.3741,4.4444444,4.4444444,4.5555556,0.0,4.4444444,4.0,2.6666667,2.2441,727.06233,0.18082221455623906,0.19999999820000056,0.1399999996400004,0.2150000012150006,1.0000000005557308,0.9999999997544375,0.4696749999927742,0.8136363648371582,0.9999999999776161,1.000000000023005,0.9999999999378634,0.19999999820000056,0.19999999820000056,0.2050000022050006,0.0,0.19999999820000056,0.1800000001800005,0.12000000162000034,1.000000000311929,1.000000000330095,13.055379,316.94223,3902.1629,2448.2045,-155.27702,-88.304889,-90.036936,-32.638447,-29.27941,-6.6989298,-48.606912,502.72399,4540.4088,2029.6748,-5195.968,261.75873,6049.138,6099.8359,-292.09618,13.055379,1546.86301,.
