Fig1, disc 0.03, temp0 971.25, tau 2.5, ffi removal, Wpt fitted, 2025-2125. Solve status Optimal. Total revenue -0.0010582994980268268
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mt,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mt,temp change,Capt pi
2025.0,600.43735,1.8888889,1.5555556,2.1111111,5.3983,12.2168,142.19242,9369.6276,89.349,173.879,64.3741,1.8888889,2.1111111,2.0,0.242,1.8888889,2.6666667,1.5555556,2.2441,727.06233,0.15811588900257656,0.08500000058500023,0.07000000207000019,0.09499999959500027,1.0000000005557308,0.9999999997544363,0.5468939230685094,0.9157342679047419,0.9999999999776166,1.0000000000230045,0.999999999937863,0.08500000058500023,0.09499999959500027,0.09000000009000025,0.0331461443637858,0.08500000058500023,0.12000000162000034,0.07000000207000019,1.0000000003119294,1.000000000330095,10.643245,257.30904,3682.0096,2016.9835,-100.14807,-45.935465,-53.120267,-26.608112,-9.5247226,-3.2259924,-20.760778,407.97661,3861.3306,1670.1085,-3213.0913,212.51212,6159.2759,6240.1336,-188.20704,10.643245,973.8289554999999,.
2026.0,600.43735,2.0,1.6666667,2.2222222,5.3983,12.2168,142.19242,9369.6276,89.349,173.879,64.3741,2.0,2.2222222,2.1111111,0.222,2.0,2.7777778,1.6666667,2.2441,727.06233,0.15811588900257662,0.09000000009000025,0.07500000157500021,0.09999999910000028,1.0000000005557304,0.9999999997544363,0.5468939230685097,0.9157342679047401,0.9999999999776159,1.0000000000230052,0.9999999999378631,0.09000000009000025,0.09999999910000028,0.09499999959500027,0.030406793589919223,0.09000000009000025,0.12500000112500034,0.07500000157500021,1.000000000311929,1.000000000330095,10.648461,257.34895,3668.8596,2023.6845,-100.38968,-45.974971,-53.12756,-26.621152,-9.4339755,-3.2362837,-11.018664,408.03739,3870.5702,1676.4062,-3229.4995,212.54514,6105.2668,6185.8276,-169.02446,10.648461,978.3264654,.
2027.0,600.43735,2.1111111,1.7777778,2.4444444,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.1111111,2.3333333,2.2222222,0.202,2.1111111,2.8888889,1.6666667,2.2441,727.06233,0.15811588900257653,0.09499999959500027,0.08000000108000023,0.10999999811000032,1.0000000005557304,0.9999999997544365,0.5468939230685095,0.9097902126071166,0.9999999999776159,1.0000000000230047,0.9999999999378631,0.09499999959500027,0.1049999986050003,0.09999999910000028,0.02766744281605263,0.09499999959500027,0.13000000063000036,0.07500000157500021,1.0000000003119294,1.000000000330095,10.650428,257.39102,3655.4249,2030.3951,-100.14375,-45.963848,-53.933628,-26.62607,-9.4818688,-3.2311626,-20.826636,408.10156,3880.2073,1682.7803,-3246.4028,212.57995,6050.1616,6130.4058,-188.30857,10.650428,983.9941399999999,.
2028.0,600.43735,2.2222222,1.8888889,2.5555556,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.2222222,2.5555556,2.4444444,0.186,2.2222222,2.8888889,1.7777778,2.2441,727.06233,0.1581158890025766,0.09999999910000028,0.08500000058500023,0.11500000211500032,1.0000000005557306,0.9999999997544369,0.5468939230685095,0.9097902126071168,0.9999999999776156,1.0000000000230043,0.9999999999378634,0.09999999910000028,0.11500000211500032,0.10999999811000032,0.025475962196959356,0.09999999910000028,0.13000000063000036,0.08000000108000023,1.0000000003119285,1.000000000330095,10.651547,257.431,3641.6821,2037.5173,-100.48922,-46.173623,-54.338475,-26.628867,-9.7595932,-3.2260512,-20.834243,408.16282,3890.2331,1689.2287,-3263.1842,212.61302,5994.1627,6074.0408,-188.14656,10.651547,990.346768,.
2029.0,600.43735,2.4444444,2.0,2.7777778,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,2.4444444,2.6666667,2.5555556,0.162,2.4444444,3.0,1.8888889,2.2441,727.06233,0.15811588900257656,0.10999999811000032,0.09000000009000025,0.12500000112500034,1.0000000005557304,0.9999999997544368,0.5468939230685095,0.9024475497390041,0.9999999999776155,1.000000000023004,0.9999999999378634,0.10999999811000032,0.12000000162000034,0.11500000211500032,0.02218874126831944,0.10999999811000032,0.13500000013500038,0.08500000058500023,1.0000000003119287,1.000000000330095,10.652856,257.46699,3627.6238,2045.4141,-99.930556,-56.333179,-55.12897,-26.632139,-18.332458,-4.2360676,-20.741555,408.21769,3900.441,1695.5338,-3279.2763,212.64279,5937.4342,6016.8798,-188.1231,10.652856,1004.866492,.
2030.0,600.43735,2.5555556,2.1111111,2.8888889,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,2.5555556,2.8888889,2.7777778,0.146,2.5555556,3.1111111,2.0,2.2441,727.06233,0.15811588900257656,0.11500000211500032,0.09499999959500027,0.13000000063000036,1.0000000005557308,0.9999999997544371,0.5468939230685098,0.9024475497390053,0.9999999999776154,1.0000000000230047,0.9999999999378634,0.11500000211500032,0.13000000063000036,0.12500000112500034,0.019997260649226148,0.11500000211500032,0.1399999996400004,0.09000000009000025,1.0000000003119291,1.000000000330095,10.653992,258.11487,3613.2597,2053.8502,-100.03579,-45.85475,-55.137418,-26.634981,-9.4301556,-3.2331362,-20.550706,409.55099,3910.5582,1701.4745,-3280.3932,213.17084,5879.9227,5958.8813,-187.61115,10.653992,1037.307397,.
2031.0,600.43735,2.6666667,2.2222222,3.1111111,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,2.6666667,3.0,2.8888889,0.122,2.6666667,3.2222222,2.0,2.2441,727.06233,0.15811588900257662,0.12000000162000034,0.09999999910000028,0.1399999996400004,1.0000000005557306,0.9999999997544367,0.5468939230685097,0.9024475497390035,0.9999999999776165,1.0000000000230045,0.9999999999378634,0.12000000162000034,0.13500000013500038,0.13000000063000036,0.016710039720586236,0.12000000162000034,0.14499999914500042,0.09000000009000025,1.000000000311929,1.000000000330095,10.655448,258.79035,3598.5763,2062.74,-99.964922,-56.453307,-55.943497,-26.638621,-18.343416,-4.2387888,-30.583822,410.84812,3920.5686,1707.043,-3297.1056,213.72328,5821.6035,5900.034,-188.11966,10.655448,1071.40876,.
2032.0,600.43735,2.8888889,2.3333333,3.3333333,5.3983,12.2168,142.19242,9165.7067,89.349,173.879,64.3741,2.8888889,3.2222222,3.1111111,0.108,2.8888889,3.3333333,2.1111111,2.2441,727.06233,0.15811588900257656,0.13000000063000036,0.1049999986050003,0.14999999865000044,1.0000000005557308,0.9999999997544365,0.5468939230685094,0.8958041955428487,0.9999999999776156,1.0000000000230047,0.9999999999378636,0.13000000063000036,0.14499999914500042,0.1399999996400004,0.014792494178879624,0.13000000063000036,0.14999999865000044,0.09499999959500027,1.0000000003119283,1.000000000330095,10.660138,259.45867,3583.596,2071.912,-100.00481,-45.759355,-56.347855,-26.650344,-9.411433,-3.223282,-20.740471,412.03073,3930.477,1712.2373,-3297.9476,214.27235,5762.5074,5840.3834,-187.9063,10.660138,1106.0679499999999,.
2033.0,600.43735,3.0,2.5555556,3.5555556,5.3983,12.2168,142.19242,9165.7067,89.349,173.879,64.3741,3.1111111,3.3333333,3.2222222,0.09,3.0,3.4444444,2.2222222,2.2441,727.06233,0.15811588900257653,0.13500000013500038,0.11500000211500032,0.16000000216000046,1.0000000005557308,0.9999999997544365,0.5468939230685097,0.8958041955428502,0.9999999999776161,1.0000000000230045,0.999999999937863,0.1399999996400004,0.14999999865000044,0.14499999914500042,0.012327078482399677,0.13500000013500038,0.15499999815500043,0.09999999910000028,1.0000000003119291,1.000000000330095,10.661816,260.11788,3568.31,2081.7483,-100.35865,-56.712235,-57.154621,-26.654539,-18.595033,-4.2794936,-30.722946,413.09373,3940.2974,1717.0518,-3314.978,214.81652,5702.6596,5779.9599,-187.99043,10.661816,1140.72795,.
2034.0,600.43735,3.2222222,2.6666667,3.7777778,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.2222222,3.5555556,3.4444444,0.072,3.2222222,3.5555556,2.3333333,2.2441,727.06233,0.15811588900257662,0.14499999914500042,0.12000000162000034,0.17000000117000047,1.0000000005557301,0.9999999997544365,0.5054436153768395,0.8902097945812028,0.9999999999776162,1.0000000000230047,0.9999999999378634,0.14499999914500042,0.16000000216000046,0.15499999815500043,0.009861662785919746,0.14499999914500042,0.16000000216000046,0.1049999986050003,1.0000000003119294,1.000000000330095,10.66273,261.49255,3552.7248,2092.4297,-100.3959,-56.540219,-57.555012,-26.656824,-18.41742,-4.2525388,-30.739309,415.54898,3950.04,1721.4902,-3331.4864,215.94544,5642.0896,5718.7749,-188.1527,10.66273,1175.18148,.
