Fig2, disc 0.06, temp0 944.727, 3rd payer, ffi removal, Wpt fitted, 2025-2125. Solve status Optimal. Total revenue -1123938.0178815704
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mt,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mt,temp change,Capt pi
2025.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,2.478,0.0,0.0,0.0,2.2441,727.06233,0.1351355138340357,0.0,0.0,0.0,1.0000000005557312,0.9999999997544369,0.6532990384514877,0.9895105313749816,0.9999999999776159,1.0000000000230045,0.9999999999378634,0.0,0.0,0.0,0.3394055608820713,0.0,0.0,0.0,1.0000000003119294,1.000000000330095,2.4170285,58.361201,827.31606,457.34089,-8.9873382,-4.1041082,-4.8518942,-2.4170285,-0.86379662,-0.29476066,-1.9081692,92.528196,874.68349,378.86669,-292.36308,48.2008,1396.2238,1398.2412,-16.893984,2.4170285,947.8784378,.
2026.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,2.36,0.0,0.0,0.0,2.2441,727.06233,0.13513551383403566,0.0,0.0,0.0,1.0000000005557306,0.9999999997544367,0.6532990384514878,0.989510531374981,0.9999999999776159,1.000000000023004,0.9999999999378631,0.0,0.0,0.0,0.3232433913162585,0.0,0.0,0.0,1.000000000311929,1.000000000330095,2.417046,58.362544,824.16718,458.87431,-8.9846151,-4.1035695,-4.8519452,-2.417046,-0.86344202,-0.29474806,-0.95694328,92.530278,876.77345,380.30248,-293.90818,48.201911,1383.3262,1385.329,-15.026063,2.417046,953.3814656,.
2027.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,2.253,0.0,0.0,0.0,2.2441,727.06233,0.13513551383403566,0.0,0.0,0.0,1.0000000005557306,0.9999999997544372,0.6532990384514878,0.9895105313749811,0.9999999999776161,1.0000000000230045,0.9999999999378631,0.0,0.0,0.0,0.308587864676072,0.0,0.0,0.0,1.0000000003119296,1.000000000330095,2.4170689,58.363811,820.95244,460.40809,-8.9837998,-4.1032869,-4.9269619,-2.4170689,-0.86296892,-0.2946637,-1.9072789,92.532164,878.95701,381.75476,-295.45196,48.20296,1370.1745,1372.1616,-16.892492,2.4170689,960.316082,.
2028.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,2.156,0.0,0.0,0.0,2.2441,727.06233,0.1351355138340357,0.0,0.0,0.0,1.0000000005557306,0.9999999997544365,0.6532990384514877,0.9895105313749805,0.9999999999776162,1.0000000000230045,0.9999999999378631,0.0,0.0,0.0,0.29530201342281903,0.0,0.0,0.0,1.0000000003119287,1.000000000330095,2.4170855,58.365028,817.671,462.04177,-8.9853068,-4.103238,-4.9645208,-2.4170855,-0.86312391,-0.29471017,-1.9076077,92.534002,881.23244,383.22361,-296.99687,48.203967,1356.8179,1358.7883,-16.891683,2.4170855,968.09376,.
2029.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,2.067,0.0,0.0,0.0,2.2441,727.06233,0.13513551383403563,0.0,0.0,0.0,1.0000000005557306,0.9999999997544369,0.6532990384514878,0.9895105313749807,0.9999999999776168,1.0000000000230043,0.9999999999378631,0.0,0.0,0.0,0.2831119024791127,0.0,0.0,0.0,1.0000000003119287,1.000000000330095,2.4171465,58.366189,814.31236,463.85987,-8.984297,-5.1231189,-5.0395644,-2.4171465,-1.7240194,-0.39259224,-1.9075406,92.535808,883.55,384.65742,-298.54275,48.204927,1343.2801,1345.2327,-16.891888,2.4171465,984.945412,.
2030.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,1.985,0.0,0.0,0.0,2.2441,727.06233,0.13513551383403563,0.0,0.0,0.0,1.0000000005557306,0.9999999997544371,0.6532990384514878,0.9895105313749801,0.9999999999776154,1.0000000000230047,0.9999999999378634,0.0,0.0,0.0,0.2718805643062597,0.0,0.0,0.0,1.0000000003119294,1.000000000330095,2.4172071,58.51513,810.8847,465.80516,-8.985038,-4.1035488,-5.0396416,-2.4172071,-0.86316958,-0.29471919,-1.9077539,92.845978,885.84462,386.0015,-298.54722,48.326236,1329.559,1331.4929,-16.89239,2.4172071,1021.636588,.
2031.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,1.91,0.0,0.0,0.0,2.2441,727.06233,0.1351355138340357,0.0,0.0,0.0,1.0000000005557304,0.9999999997544367,0.6532990384514878,0.9895105313749826,0.9999999999776158,1.0000000000230045,0.999999999937863,0.0,0.0,0.0,0.26160799890426,0.0,0.0,0.0,1.0000000003119294,1.000000000330095,2.4172638,58.670601,807.38594,467.86094,-8.9859004,-5.1235452,-5.1146923,-2.4172638,-1.7237749,-0.39263263,-2.8587992,93.146857,888.11207,387.25589,-300.09255,48.45333,1315.6488,1317.5629,-16.8917,2.4172638,1060.29271,.
2032.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,1.84,0.0,0.0,0.0,2.2441,727.06233,0.13513551383403563,0.0,0.0,0.0,1.0000000005557301,0.9999999997544363,0.6532990384514877,0.9895105313749798,0.9999999999776165,1.0000000000230052,0.9999999999378634,0.0,0.0,0.0,0.25202027119572684,0.0,0.0,0.0,1.0000000003119294,1.000000000330095,2.4173818,58.824379,803.81866,469.98275,-8.9849975,-4.1031113,-5.1522399,-2.4173818,-0.8638493,-0.29474621,-1.907956,93.420046,890.35323,388.42064,-300.09814,48.579644,1301.5555,1303.4488,-16.891971,2.4173818,1099.81341,.
2033.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10124.493,89.349,173.879,64.3741,0.0,0.0,0.0,1.775,0.0,0.0,0.0,2.2441,727.06233,0.13513551383403566,0.0,0.0,0.0,1.0000000005557308,0.9999999997544367,0.6532990384514877,0.9895105313749835,0.9999999999776161,1.0000000000230052,0.999999999937863,0.0,0.0,0.0,0.24311738118066037,0.0,0.0,0.0,1.0000000003119294,1.000000000330095,2.4174402,58.976555,800.18002,472.26069,-8.9871809,-5.1236265,-5.2272676,-2.4174402,-1.724137,-0.39267303,-2.8592935,93.665688,892.57272,389.4958,-301.64294,48.70526,1287.285,1289.1558,-16.893075,2.4174402,1139.56784,.
2034.0,513.1705,0.0,0.0,0.0,5.3983,12.2168,169.85775,10056.519,89.349,173.879,64.3741,0.0,0.0,0.0,1.715,0.0,0.0,0.0,2.2441,727.06233,0.1351355138340357,0.0,0.0,0.0,1.0000000005557308,0.9999999997544368,0.6532990384514878,0.9828671380850975,0.9999999999776161,1.0000000000230045,0.9999999999378628,0.0,0.0,0.0,0.23489932885906073,0.0,0.0,0.0,1.0000000003119283,1.000000000330095,2.4174573,59.297596,796.47187,474.74026,-8.9844193,-5.1237731,-5.2648465,-2.4174573,-1.72406,-0.39268152,-2.8593559,94.239433,894.77466,390.48136,-303.189,48.968898,1272.8407,1274.6875,-16.892705,2.4174573,1179.64476,.
