Short auctions, disc 0.03, temp0 971.25, tau 1.5, ffi removal, Wpt default, 2025-2125. Solve status Optimal. Total revenue 0.026035565967274632
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mt,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mt,temp change,Capt pi
2025.0,600.43735,1.7777778,1.2222222,1.8888889,5.3983,12.2168,154.83028,9748.8489,89.349,173.879,64.3741,1.7777778,1.7777778,1.7777778,0.408,1.7777778,2.0,1.0,2.2441,727.06233,0.15811588900257656,0.08000000108000023,0.05499999905500016,0.08500000058500023,1.0000000005557304,0.9999999997544369,0.5955010769139153,0.9527972072609862,0.9999999999776161,1.000000000023005,0.9999999999378628,0.08000000108000023,0.08000000108000023,0.08000000108000023,0.05588275578687857,0.08000000108000023,0.09000000009000025,0.04500000004500013,1.0000000003119291,1.000000000330095,10.3743,251.62969,3298.624,1917.7867,-75.351544,-34.411836,-39.612532,-15.56145,-7.1461669,-2.4082741,-15.553752,399.09242,3613.0202,1607.1321,-2395.4687,207.81871,5354.4762,5433.0863,-140.88496,10.3743,974.0417256999999,.
2026.0,600.43735,1.8888889,1.2222222,2.0,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,1.8888889,1.8888889,1.8888889,0.39,1.8888889,2.0,1.1111111,2.2441,727.06233,0.15811588900257662,0.08500000058500023,0.05499999905500016,0.09000000009000025,1.0000000005557308,0.9999999997544369,0.5955010769139152,0.9472027965259041,0.9999999999776159,1.0000000000230047,0.9999999999378634,0.08500000058500023,0.08500000058500023,0.08500000058500023,0.053417340090398606,0.08500000058500023,0.09000000009000025,0.04999999955000014,1.0000000003119294,1.000000000330095,10.374334,251.8171,3282.3773,1921.5646,-74.892597,-34.325813,-39.614002,-15.561501,-7.0297204,-2.4049264,-7.9408408,399.37528,3615.0353,1608.7101,-2407.8584,207.97383,5301.9374,5380.333,-125.90898,10.374334,981.316653,.
2027.0,600.43735,2.0,1.3333333,2.2222222,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,2.0,2.0,2.1111111,0.366,2.0,2.1111111,1.1111111,2.2441,727.06233,0.1581158890025765,0.09000000009000025,0.05999999856000017,0.09999999910000028,1.0000000005557312,0.9999999997544367,0.5955010769139154,0.9472027965259078,0.9999999999776156,1.0000000000230047,0.9999999999378634,0.09000000009000025,0.09000000009000025,0.09499999959500027,0.050130119161758725,0.09000000009000025,0.09499999959500027,0.04999999955000014,1.000000000311929,1.000000000330095,10.382332,252.02454,3265.8526,1925.4727,-74.847561,-34.326316,-40.212866,-15.573499,-7.0455142,-2.4069198,-15.475195,399.70754,3617.1168,1610.3947,-2420.4863,208.14508,5248.3726,5326.5253,-140.66487,10.382332,994.033283,.
2028.0,600.43735,2.1111111,1.4444444,2.3333333,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,2.1111111,2.2222222,2.2222222,0.346,2.1111111,2.2222222,1.2222222,2.2441,727.06233,0.1581158890025766,0.09499999959500027,0.06499999806500019,0.1049999986050003,1.0000000005557306,0.9999999997544365,0.5955010769139154,0.9472027965259071,0.9999999999776155,1.0000000000230047,0.9999999999378628,0.09499999959500027,0.09999999910000028,0.09999999910000028,0.047390768387892135,0.09499999959500027,0.09999999910000028,0.05499999905500016,1.0000000003119287,1.000000000330095,10.390377,252.23195,3249.0433,1929.5153,-74.936843,-34.342681,-40.517294,-15.585565,-7.0623084,-2.4061535,-15.494564,400.03598,3619.2606,1612.0815,-2433.0015,208.31639,5193.8549,5271.7391,-140.66789,10.390377,1010.4645929999999,.
2029.0,600.43735,2.3333333,1.5555556,2.4444444,5.3983,12.2168,154.83028,9691.6079,89.349,173.879,64.3741,2.3333333,2.3333333,2.3333333,0.331,2.3333333,2.3333333,1.3333333,2.2441,727.06233,0.15811588900257656,0.1049999986050003,0.07000000207000019,0.10999999811000032,1.0000000005557301,0.9999999997544367,0.5955010769139154,0.9472027965259078,0.9999999999776165,1.0000000000230045,0.999999999937863,0.1049999986050003,0.1049999986050003,0.1049999986050003,0.045336255307492156,0.1049999986050003,0.1049999986050003,0.05999999856000017,1.0000000003119283,1.000000000330095,10.406198,252.43459,3231.9259,1933.7139,-74.776226,-42.401796,-41.115981,-15.609296,-13.864079,-3.1786681,-15.475298,400.3582,3621.4674,1613.8218,-2445.5035,208.48372,5138.4881,5216.0764,-140.65836,10.406198,1029.2955749999999,.
2030.0,600.43735,2.4444444,1.6666667,2.6666667,5.3983,12.2168,154.83028,9634.367,89.349,173.879,64.3741,2.4444444,2.4444444,2.4444444,0.311,2.4444444,2.4444444,1.3333333,2.2441,727.06233,0.15811588900257656,0.10999999811000032,0.07500000157500021,0.12000000162000034,1.0000000005557306,0.9999999997544367,0.5955010769139154,0.9416083955642613,0.9999999999776151,1.0000000000230052,0.9999999999378636,0.10999999811000032,0.10999999811000032,0.10999999811000032,0.042596904533625565,0.10999999811000032,0.10999999811000032,0.05999999856000017,1.0000000003119296,1.000000000330095,10.406344,252.6373,3214.4788,1938.0731,-74.974503,-34.321791,-41.120604,-15.609516,-7.0450061,-2.4099001,-15.52614,400.68057,3623.7456,1615.6242,-2445.9284,208.65112,5082.4265,5159.6893,-140.67538,10.406344,1049.699832,.
2031.0,600.43735,2.5555556,1.7777778,2.7777778,5.3983,12.2168,142.19242,9634.367,89.349,173.879,64.3741,2.5555556,2.6666667,2.6666667,0.291,2.5555556,2.4444444,1.4444444,2.2441,727.06233,0.1581158890025766,0.11500000211500032,0.08000000108000023,0.12500000112500034,1.0000000005557304,0.9999999997544365,0.5468939230685095,0.9416083955642587,0.9999999999776156,1.0000000000230045,0.9999999999378631,0.11500000211500032,0.12000000162000034,0.12000000162000034,0.03985755375975897,0.11500000211500032,0.10999999811000032,0.06499999806500019,1.0000000003119294,1.000000000330095,10.42219,252.85971,3196.6839,1942.5887,-75.003036,-42.402239,-41.720674,-15.633284,-13.858456,-3.1841208,-23.025072,401.04788,3626.0859,1617.5308,-2458.466,208.83447,5025.7544,5102.6661,-140.6522,10.42219,1070.90987,.
2032.0,600.43735,2.7777778,1.8888889,3.0,5.3983,12.2168,142.19242,9634.367,89.349,173.879,64.3741,2.7777778,2.7777778,2.7777778,0.276,2.7777778,2.5555556,1.5555556,2.2441,727.06233,0.1581158890025766,0.12500000112500034,0.08500000058500023,0.13500000013500038,1.0000000005557308,0.9999999997544363,0.5468939230685097,0.941608395564261,0.9999999999776159,1.0000000000230045,0.9999999999378636,0.12500000112500034,0.12500000112500034,0.12500000112500034,0.03780304067935903,0.12500000112500034,0.11500000211500032,0.07000000207000019,1.0000000003119294,1.000000000330095,10.422344,253.08632,3178.5486,1947.244,-74.753159,-34.286732,-42.020813,-15.633516,-7.0101639,-2.4036223,-15.480865,401.41253,3628.5039,1619.503,-2458.8314,209.0215,4968.4804,5045.0194,-140.6246,10.422344,1092.57053,.
2033.0,600.43735,2.8888889,2.0,3.1111111,5.3983,12.2168,142.19242,9634.367,89.349,173.879,64.3741,2.8888889,2.8888889,3.0,0.254,2.8888889,2.6666667,1.5555556,2.2441,727.06233,0.15811588900257653,0.13000000063000036,0.09000000009000025,0.1399999996400004,1.0000000005557306,0.9999999997544365,0.5468939230685093,0.9416083955642591,0.9999999999776161,1.000000000023005,0.9999999999378631,0.13000000063000036,0.13000000063000036,0.13500000013500038,0.03478975482810579,0.13000000063000036,0.12000000162000034,0.07000000207000019,1.0000000003119294,1.000000000330095,10.438169,253.33231,3160.0549,1952.0817,-74.818674,-42.384819,-42.621698,-15.657253,-13.854969,-3.1840104,-23.014836,401.81759,3630.9879,1621.5288,-2471.378,209.22431,4910.599,4986.7407,-140.6043,10.438169,1114.49858,.
2034.0,600.43735,3.1111111,2.0,3.3333333,5.3983,12.2168,142.19242,9555.6607,89.349,173.879,64.3741,3.1111111,3.1111111,3.1111111,0.238,3.1111111,2.7777778,1.6666667,2.2441,727.06233,0.15811588900257662,0.1399999996400004,0.09000000009000025,0.14999999865000044,1.0000000005557312,0.9999999997544371,0.5468939230685093,0.9339160881335994,0.999999999977615,1.000000000023005,0.9999999999378628,0.1399999996400004,0.1399999996400004,0.1399999996400004,0.03259827420901249,0.1399999996400004,0.12500000112500034,0.07500000157500021,1.0000000003119294,1.000000000330095,10.446197,253.57801,3141.1998,1957.081,-74.934452,-42.373585,-42.924809,-15.669296,-13.856616,-3.1836973,-23.048936,402.21454,3633.5441,1623.6173,-2483.9498,209.42707,4852.1179,4927.8376,-140.64905,10.446197,1136.69208,.
