Contracts, disc 0.03, temp0 1339.421, tau 2.1, luc removal, Wpt fitted, 2025-2125. Solve status Optimal. Total revenue -0.011529659270308912
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mtC,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mtC,temp change,Capt pi
2025.0,513.2,0.0,0.0,0.0,5.3983,12.2168,131.41534,9308.8091,89.349,173.879,64.3741,0.0,0.0,0.0,0.042,0.0,0.99999,0.44444,2.2441,0.0,0.13514154048716265,0.0,0.0,0.0,1.0000000005557308,0.9999999997544363,0.5054436153768395,0.9097902126071159,0.9999999999776161,1.000000000023005,0.999999999937863,0.0,0.0,0.0,0.005752636625119853,0.0,0.04499999999999999,0.019999999999999997,1.000000000311929,0.0,0.690878,28.948941,2044.1778,421.17543,-148.89611,-71.43322,-74.505791,-29.447619,-15.248902,-4.4427004,-27.97386,46.472439,1112.2162,202.75027,-4586.6725,23.895603,4164.5618,4484.626,-277.5358,0.690878,1333.555816,.
2026.0,513.2,0.0,0.0,0.0,5.3983,12.2168,131.41534,9233.6803,89.349,173.879,64.3741,0.0,0.0,0.0,0.024,0.0,1.1111,0.55555,2.2441,0.0,0.13514154048716262,0.0,0.0,0.0,1.000000000555731,0.9999999997544367,0.5054436153768395,0.9024475497390021,0.9999999999776159,1.0000000000230043,0.9999999999378631,0.0,0.0,0.0,0.0032872209286399154,0.0,0.04999999999999999,0.024999999999999994,1.000000000311929,0.0,0.7184179,29.840094,2063.6041,439.25122,-148.52964,-70.589335,-74.795281,-29.447619,-14.627501,-4.4656985,-21.322299,47.794052,1139.7101,209.78383,-4605.4186,24.633749,4196.7412,4499.8999,-263.89005,0.7184179,1337.7180473,.
2027.0,513.2,0.0,0.0,0.0,5.3983,12.2168,131.41534,9233.6803,89.349,173.879,64.3741,0.0,0.0,0.0,0.003,0.0,1.22221,0.66666,2.2441,0.0,0.13514154048716265,0.0,0.0,0.0,1.0000000005557308,0.9999999997544365,0.5054436153768394,0.9024475497390056,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.0,0.0,0.0,0.0004109026160799894,0.0,0.054999999999999986,0.029999999999999995,1.0000000003119278,0.0,1.0305019,30.479148,2083.1579,458.03681,-148.56002,-70.061037,-75.568963,-29.447619,-14.220536,-4.5095006,-26.98497,48.756278,1167.587,217.72763,-4625.4326,25.162733,4233.1727,4513.4792,-274.59787,1.0305019,1342.9540339,.
2028.0,513.2,0.0,0.11111,0.0,5.3983,12.2168,131.41534,9165.7067,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,1.44443,0.66666,2.2441,0.0,0.13514154048716265,0.0,0.004999999999999999,0.0,1.0000000005557301,0.9999999997544371,0.5054436153768394,0.8958041955428516,0.9999999999776156,1.0000000000230045,0.9999999999378628,0.0,0.0,0.0,0.0,0.0,0.06499999999999999,0.029999999999999995,1.0000000003119294,0.0,1.1008199,31.022361,2102.4823,477.40976,-148.32061,-69.619874,-76.152688,-29.447619,-13.991256,-4.5173747,-27.597806,49.55817,1196.251,226.47152,-4646.1005,25.612764,4269.801,4525.6848,-275.58464,1.1008199,1348.8110727,.
2029.0,513.2,0.0,0.22222,0.0,5.3983,12.2168,131.41534,9165.7067,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,1.55554,0.77777,2.2441,0.0,0.13514154048716265,0.0,0.009999999999999998,0.0,1.0000000005557308,0.9999999997544368,0.5054436153768392,0.8958041955428516,0.9999999999776154,1.0000000000230045,0.9999999999378636,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.03499999999999999,1.0000000003119283,0.0,1.1443887,31.473182,2122.0487,497.31656,-148.44188,-76.934217,-77.013749,-29.447619,-20.345077,-5.2640428,-28.342675,50.19932,1225.6514,235.87393,-4667.4811,25.986818,4301.1017,4536.2265,-276.65801,1.1443887,1355.020413,.
2030.0,513.2,0.0,0.33333,0.0,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,1.66665,0.88888,2.2441,0.0,0.13514154048716262,0.0,0.014999999999999998,0.0,1.0000000005557308,0.9999999997544365,0.5054436153768395,0.8902097945812046,0.9999999999776162,1.0000000000230047,0.999999999937863,0.0,0.0,0.0,0.0,0.0,0.07499999999999998,0.039999999999999994,1.0000000003119287,0.0,1.1715312,31.841677,2141.4342,517.7996,-148.25298,-70.83716,-77.370088,-29.447619,-15.286797,-4.7223657,-28.514032,50.705005,1255.7715,245.96848,-4677.8251,26.292997,4331.0028,4545.7808,-277.0812,1.1715312,1361.382033,.
2031.0,513.2,0.0,0.44444,0.0,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,1.88887,0.99999,2.2441,0.0,0.1351415404871626,0.0,0.019999999999999997,0.0,1.0000000005557312,0.9999999997544367,0.5054436153768395,0.8902097945812047,0.9999999999776166,1.0000000000230045,0.9999999999378631,0.0,0.0,0.0,0.0,0.0,0.08499999999999998,0.04499999999999999,1.0000000003119285,0.0,1.1965477,32.130479,2161.2223,538.83684,-148.66651,-77.48297,-78.186189,-29.447619,-21.047702,-5.3878416,-35.465382,51.091829,1286.7635,256.86927,-4697.2422,26.533185,4352.1231,4551.1112,-276.94923,1.1965477,1377.9930550000001,.
2032.0,513.2,0.0,0.55555,0.0,5.3983,12.2168,131.41534,9029.7595,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,1.99998,1.1111,2.2441,0.0,0.13514154048716265,0.0,0.024999999999999994,0.0,1.0000000005557306,0.9999999997544368,0.5054436153768392,0.8825174871505439,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.0,0.0,0.0,0.0,0.0,0.08999999999999998,0.04999999999999999,1.000000000311929,0.0,1.2269897,32.343245,2180.9269,560.30164,-148.54415,-71.209963,-78.807305,-29.447619,-15.787225,-4.8060212,-30.15128,51.373958,1319.6314,268.61577,-4707.1254,26.7102,4363.9471,4555.3945,-277.15507,1.2269897,1396.520111,.
2033.0,513.2,0.0,0.66666,0.0,5.3983,12.2168,122.1155,9029.7595,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,2.11109,1.22221,2.2441,0.0,0.13514154048716268,0.0,0.029999999999999995,0.0,1.0000000005557315,0.9999999997544361,0.4696749999927744,0.8825174871505453,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.0,0.0,0.0,0.0,0.0,0.09499999999999997,0.054999999999999986,1.0000000003119291,0.0,1.2581494,32.491521,2200.7587,582.19243,-148.67331,-77.780718,-79.68079,-29.447619,-21.335032,-5.4595159,-36.612811,51.571045,1354.477,281.19466,-4726.4971,26.833554,4372.0011,4559.0953,-277.31076,1.2581494,1413.3525240000001,.
2034.0,513.2,0.0,0.77777,0.0,5.3983,12.2168,122.1155,8768.5976,89.349,173.879,64.3741,0.0,0.0,0.0,0.0,0.0,2.2222,1.33332,2.2441,0.0,0.13514154048716265,0.0,0.03499999999999999,0.0,1.0000000005557308,0.9999999997544365,0.4696749999927742,0.8569930040535727,0.9999999999776154,1.0000000000230038,0.9999999999378628,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.05999999999999999,1.0000000003119294,0.0,1.2849278,32.589453,2220.4686,604.42927,-148.68419,-78.93214,-80.338242,-29.447619,-22.357772,-5.586895,-37.77852,51.704418,1391.4885,294.48563,-4747.3481,26.91495,4373.2561,4562.5001,-277.29288,1.2849278,1441.15271,.
