Fig1, disc 0.03, temp0 1400.0, tau 2.5, ffi removal, Wpt default, 2025-2125. Solve status Optimal. Total revenue -0.016233227273914963
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mtC,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mtC,temp change,Capt pi
2025.0,600.5,1.99998,1.77776,2.44442,5.3983,12.2168,142.19242,9369.6276,89.349,173.879,64.3741,1.99998,2.33331,2.2222,0.122,1.99998,2.88886,1.77776,2.2441,0.0,0.15813034891375907,0.08999999999999998,0.07999999999999999,0.10999999999999997,1.0000000005557308,0.9999999997544363,0.5468939230685095,0.9157342679047421,0.9999999999776161,1.000000000023005,0.999999999937863,0.08999999999999998,0.10499999999999998,0.09999999999999998,0.016710039720586236,0.08999999999999998,0.12999999999999998,0.07999999999999999,1.000000000311929,0.0,10.824329,267.93867,3896.0377,2165.2598,-123.02057,-56.26164,-65.579863,-27.060822,-11.715375,-3.9829517,-25.692268,425.5814,4111.3759,1750.5375,-3957.9952,221.27358,6529.8292,6577.1986,-230.93565,10.824329,1402.5723654,.
2026.0,600.5,2.2222,1.88887,2.66664,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.2222,2.55553,2.33331,0.102,2.2222,2.99997,1.88887,2.2441,0.0,0.15813034891375904,0.09999999999999998,0.08499999999999998,0.11999999999999998,1.000000000555731,0.9999999997544367,0.5468939230685095,0.9097902126071147,0.9999999999776159,1.0000000000230043,0.9999999999378631,0.09999999999999998,0.11499999999999998,0.10499999999999998,0.01397068894671964,0.09999999999999998,0.13499999999999995,0.08499999999999998,1.000000000311929,0.0,10.848623,269.01803,3882.6595,2174.953,-122.88799,-56.235918,-65.582594,-27.121558,-11.63491,-3.9846131,-13.015856,427.26077,4123.0477,1756.8201,-3978.742,222.16581,6472.7536,6520.3468,-206.05944,10.848623,1414.165867,.
2027.0,600.5,2.33331,2.11109,2.77775,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.33331,2.66664,2.44442,0.084,2.33331,3.11108,1.88887,2.2441,0.0,0.15813034891375907,0.10499999999999998,0.09499999999999997,0.12499999999999999,1.0000000005557308,0.9999999997544365,0.5468939230685094,0.9097902126071182,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.10499999999999998,0.11999999999999998,0.10999999999999997,0.011505273250239706,0.10499999999999998,0.13999999999999996,0.08499999999999998,1.0000000003119278,0.0,10.887095,270.06612,3868.8588,2184.8552,-122.72226,-56.229288,-66.587808,-27.217737,-11.641642,-3.9854453,-25.703906,428.89105,4134.7658,1763.2512,-3999.6177,223.03214,6414.0682,6461.88,-230.87532,10.887095,1431.782741,.
2028.0,600.5,2.44442,2.2222,2.99997,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.55553,2.88886,2.66664,0.066,2.44442,3.22219,1.99998,2.2441,0.0,0.1581303489137591,0.10999999999999997,0.09999999999999998,0.13499999999999995,1.0000000005557301,0.9999999997544371,0.5468939230685094,0.9097902126071169,0.9999999999776156,1.0000000000230045,0.9999999999378628,0.11499999999999998,0.12999999999999998,0.11999999999999998,0.009039857553759766,0.10999999999999997,0.14499999999999996,0.08999999999999998,1.0000000003119294,0.0,10.926999,271.06237,3854.6254,2194.9257,-122.6827,-56.239007,-67.093487,-27.317497,-11.672067,-3.981297,-25.659581,430.42898,4146.5112,1769.5721,-4020.4219,223.85591,6353.8485,6401.8708,-230.88369,10.926999,1453.622885,.
2029.0,600.5,2.66664,2.33331,3.11108,5.3983,12.2168,131.41534,9233.6803,89.349,173.879,64.3741,2.66664,2.99997,2.77775,0.048,2.66664,3.3333,2.11109,2.2441,0.0,0.1581303489137591,0.11999999999999998,0.10499999999999998,0.13999999999999996,1.0000000005557308,0.9999999997544368,0.5054436153768392,0.9024475497390044,0.9999999999776154,1.0000000000230045,0.9999999999378636,0.11999999999999998,0.13499999999999995,0.12499999999999999,0.006574441857279833,0.11999999999999998,0.14999999999999997,0.09499999999999997,1.0000000003119283,0.0,10.993827,272.02666,3839.9166,2205.2867,-123.07352,-69.854415,-68.098584,-27.484569,-23.167391,-5.2911814,-25.772258,431.9381,4158.2858,1775.9403,-4041.2847,224.65281,6292.2082,6340.4266,-230.90156,10.993827,1477.927147,.
2030.0,600.5,2.88886,2.44442,3.3333,5.3983,12.2168,131.41534,9165.7067,89.349,173.879,64.3741,2.88886,3.22219,2.99997,0.03,2.88886,3.44441,2.2222,2.2441,0.0,0.15813034891375904,0.12999999999999998,0.10999999999999997,0.14999999999999997,1.0000000005557308,0.9999999997544365,0.5054436153768395,0.8958041955428511,0.9999999999776162,1.0000000000230047,0.999999999937863,0.12999999999999998,0.14499999999999996,0.13499999999999995,0.004109026160799895,0.12999999999999998,0.15499999999999997,0.09999999999999998,1.0000000003119287,0.0,11.025732,272.98233,3824.7249,2215.8972,-123.03527,-56.202694,-68.101081,-27.56433,-11.658601,-3.9893578,-25.747542,433.44748,4170.113,1782.3018,-4041.6111,225.44223,6229.3327,6277.7257,-230.90881,11.025732,1503.69146,.
2031.0,600.5,2.99997,2.55553,3.55552,5.3983,12.2168,131.41534,9165.7067,89.349,173.879,64.3741,2.99997,3.3333,3.22219,0.009,2.99997,3.55552,2.33331,2.2441,0.0,0.15813034891375902,0.13499999999999995,0.11499999999999998,0.15999999999999998,1.0000000005557312,0.9999999997544367,0.5054436153768395,0.8958041955428513,0.9999999999776166,1.0000000000230045,0.9999999999378631,0.13499999999999995,0.14999999999999997,0.14499999999999996,0.0012327078482399678,0.13499999999999995,0.15999999999999998,0.10499999999999998,1.0000000003119285,0.0,11.088406,273.94544,3808.9967,2226.7284,-122.68691,-69.82756,-69.10546,-27.721015,-23.12409,-5.2876553,-38.39043,434.98605,4181.981,1788.8095,-4062.4572,226.23739,6165.4731,6214.0098,-230.88006,11.088406,1530.31427,.
2032.0,600.5,3.22219,2.66664,3.77774,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.22219,3.55552,3.3333,0.0,3.22219,3.66663,2.33331,2.2441,0.0,0.15813034891375907,0.14499999999999996,0.11999999999999998,0.16999999999999996,1.0000000005557306,0.9999999997544368,0.5054436153768392,0.8902097945812032,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.14499999999999996,0.15999999999999998,0.14999999999999997,0.0,0.14499999999999996,0.16499999999999998,0.10499999999999998,1.000000000311929,0.0,11.126047,274.86846,3792.7605,2237.7191,-122.74464,-56.240099,-69.609189,-27.815118,-11.677107,-3.9822135,-25.690613,436.44538,4193.916,1795.3359,-4062.748,226.99981,6100.6364,6149.3078,-230.88037,11.126047,1557.41993,.
2033.0,600.5,3.44441,2.77775,3.99996,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.44441,3.77774,3.55552,0.0,3.3333,3.88885,2.44442,2.2441,0.0,0.1581303489137591,0.15499999999999997,0.12499999999999999,0.17999999999999997,1.0000000005557315,0.9999999997544361,0.5054436153768395,0.8902097945812046,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.15499999999999997,0.16999999999999996,0.15999999999999998,0.0,0.14999999999999997,0.17499999999999996,0.10999999999999997,1.0000000003119291,0.0,11.184237,275.83172,3775.999,2248.9565,-122.8539,-69.809954,-70.615291,-27.960592,-23.165411,-5.2928021,-38.401066,437.9975,4205.9194,1801.8713,-4083.6175,227.79481,6034.8213,6083.6165,-230.91337,11.184237,1584.70902,.
2034.0,600.5,3.55552,2.88886,4.22218,5.3983,12.2168,131.41534,9029.7595,89.349,173.879,64.3741,3.55552,3.99996,3.77774,0.0,3.55552,3.99996,2.55553,2.2441,0.0,0.15813034891375907,0.15999999999999998,0.12999999999999998,0.18999999999999995,1.0000000005557308,0.9999999997544365,0.5054436153768392,0.8825174871505436,0.9999999999776154,1.0000000000230038,0.9999999999378628,0.15999999999999998,0.17999999999999997,0.16999999999999996,0.0,0.15999999999999998,0.17999999999999997,0.11499999999999998,1.0000000003119294,0.0,11.21756,276.79094,3758.7237,2260.4115,-122.68001,-69.750201,-71.118244,-28.043901,-23.113332,-5.2908091,-38.38945,439.52561,4218.0121,1808.5185,-4104.3622,228.58685,5968.0426,6016.9463,-230.74702,11.21756,1612.15524,.
2035.0,686.7,3.77774,3.11108,4.4444,5.3983,12.2168,131.41534,9029.7595,89.349,173.879,64.3741,3.77774,4.22218,3.99996,0.0,3.77774,4.11107,2.66664,2.2441,0.0,0.18082949308755764,0.16999999999999996,0.13999999999999996,0.19999999999999996,1.0000000005557301,0.9999999997544362,0.5054436153768394,0.8825174871505461,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.16999999999999996,0.18999999999999995,0.17999999999999997,0.0,0.16999999999999996,0.18499999999999994,0.11999999999999998,1.0000000003119283,0.0,11.249588,277.75388,3740.9121,2272.0778,-123.01825,-56.233782,-71.624649,-28.123971,-23.166248,-5.2930942,-25.755313,441.052,4230.1863,1815.1978,-4104.7554,229.38215,5900.3012,5949.2998,-230.83362,11.249588,1639.37624,.
2036.0,686.7,3.99996,3.22219,4.66662,5.3983,12.2168,122.1155,8768.5976,89.349,173.879,64.3741,3.99996,4.4444,4.22218,0.0,3.99996,4.22218,2.77775,2.2441,0.0,0.1808294930875576,0.17999999999999997,0.14499999999999996,0.20999999999999996,1.0000000005557306,0.9999999997544367,0.4696749999927744,0.8569930040535754,0.9999999999776161,1.0000000000230052,0.999999999937863,0.17999999999999997,0.19999999999999996,0.18999999999999995,0.0,0.17999999999999997,0.18999999999999995,0.12499999999999999,1.0000000003119291,0.0,11.294775,278.72424,3722.5475,2283.9415,-122.77691,-56.197102,-72.128169,-28.236938,-11.662341,-3.9854045,-25.704455,442.59047,4242.416,1821.9423,-4104.9609,230.18359,5831.6032,5880.6791,-205.95872,11.294775,1665.93541,.
2037.0,686.7,4.22218,3.3333,4.88884,5.3983,12.2168,122.1155,8389.3764,89.349,173.879,64.3741,4.22218,4.66662,4.4444,0.0,4.22218,4.33329,2.77775,2.2441,0.0,0.18082949308755764,0.18999999999999995,0.14999999999999997,0.21999999999999995,1.0000000005557306,0.9999999997544371,0.4696749999927742,0.8199300744707652,0.9999999999776156,1.0000000000230043,0.9999999999378636,0.18999999999999995,0.20999999999999996,0.19999999999999996,0.0,0.18999999999999995,0.19499999999999995,0.12499999999999999,1.0000000003119285,0.0,11.332357,279.68858,3703.5982,2295.9318,-122.69305,-56.234989,-73.131631,-28.330892,-23.134819,-5.2918071,-38.398584,444.1164,4254.7212,1828.801,-4146.4112,230.98009,5761.9614,5811.0894,-230.80721,11.332357,1691.8951299999999,.
2038.0,686.7,4.4444,3.44441,5.22217,5.3983,12.2168,122.1155,8389.3764,89.349,173.879,64.3741,4.4444,4.88884,4.66662,0.0,4.4444,4.4444,2.88886,2.2441,0.0,0.18082949308755764,0.19999999999999996,0.15499999999999997,0.23499999999999996,1.0000000005557306,0.9999999997544362,0.4696749999927745,0.8199300744707633,0.9999999999776156,1.0000000000230047,0.9999999999378631,0.19999999999999996,0.21999999999999995,0.20999999999999996,0.0,0.19999999999999996,0.19999999999999996,0.12999999999999998,1.0000000003119287,0.0,11.363183,280.69397,3684.0567,2308.2258,-122.74462,-56.191002,-73.637526,-28.407957,-11.6798,-3.9841548,-25.720093,445.71903,4267.1023,1835.7736,-4146.7111,231.81026,5691.4093,5740.5734,-230.79824,11.363183,1716.72033,.
2039.0,686.7,4.66662,3.66663,5.44439,5.3983,12.2168,122.1155,8324.9803,89.349,173.879,64.3741,4.66662,5.11106,4.88884,0.0,4.66662,4.55551,2.99997,2.2441,0.0,0.18082949308755764,0.20999999999999996,0.16499999999999998,0.24499999999999997,1.0000000005557308,0.9999999997544367,0.4696749999927744,0.8136363648371577,0.9999999999776162,1.0000000000230047,0.9999999999378631,0.20999999999999996,0.22999999999999995,0.21999999999999995,0.0,0.20999999999999996,0.20499999999999996,0.13499999999999995,1.0000000003119285,0.0,11.403586,281.65115,3663.8671,2320.7625,-122.70335,-56.210363,-74.643268,-28.508964,-23.14392,-5.2888368,-38.428266,447.22481,4279.5308,1842.9131,-4167.5285,232.60106,5619.9886,5669.1734,-230.8863,11.403586,1740.67396,.
2040.0,686.7,4.88884,3.77774,5.77772,5.3983,12.2168,122.1155,8257.0067,89.349,173.879,64.3741,4.88884,5.33328,5.11106,0.0,4.88884,4.66662,3.11108,2.2441,0.0,0.1808294930875576,0.21999999999999995,0.16999999999999996,0.25999999999999995,1.0000000005557306,0.9999999997544367,0.4696749999927743,0.8069930106410033,0.9999999999776159,1.0000000000230045,0.9999999999378634,0.21999999999999995,0.23999999999999996,0.22999999999999995,0.0,0.21999999999999995,0.20999999999999996,0.13999999999999996,1.0000000003119285,0.0,11.445186,282.64172,3642.9867,2333.546,-122.82822,-56.171455,-75.147488,-28.612965,-11.641892,-3.9895429,-25.74227,448.80521,4291.9832,1850.1358,-4167.8995,233.41896,5547.7765,5596.9628,-205.84619,11.445186,1763.81192,.
2041.0,686.7,5.11106,3.88885,5.99994,5.3983,12.2168,114.00801,7291.0657,89.349,173.879,64.3741,5.11106,5.5555,5.33328,0.0,5.11106,4.77773,3.22219,2.2441,0.0,0.18082949308755766,0.22999999999999995,0.17499999999999996,0.2699999999999999,1.0000000005557308,0.9999999997544362,0.43849234614710025,0.7125874150040782,0.9999999999776156,1.0000000000230054,0.9999999999378636,0.22999999999999995,0.24999999999999997,0.23999999999999996,0.0,0.22999999999999995,0.21499999999999994,0.14499999999999996,1.0000000003119283,0.0,11.492061,283.70904,3621.3383,2346.5733,-123.10042,-56.252565,-76.654965,-28.730151,-23.193915,-5.2995407,-38.476891,450.54289,4304.4412,1857.5468,-4188.8272,234.29942,5474.8856,5524.0497,-230.83997,11.492061,1786.18106,.
2042.0,686.7,5.33328,4.11107,6.33327,5.3983,12.2168,114.00801,7291.0657,89.349,173.879,64.3741,5.44439,5.88883,5.66661,0.0,5.33328,4.88884,3.3333,2.2441,0.0,0.1808294930875576,0.23999999999999996,0.18499999999999994,0.2849999999999999,1.0000000005557306,0.9999999997544365,0.4384923461471002,0.7125874150040804,0.9999999999776156,1.0000000000230045,0.999999999937863,0.24499999999999997,0.2649999999999999,0.25499999999999995,0.0,0.23999999999999996,0.21999999999999995,0.14999999999999997,1.0000000003119294,0.0,11.520378,284.73622,3598.9267,2359.8477,-122.6988,-56.171342,-77.157207,-28.800944,-23.151415,-5.2899526,-25.734403,452.17996,4316.9006,1865.0669,-4209.5508,235.14752,5401.3053,5450.4323,-230.85042,11.520378,1806.79181,.
2043.0,686.7,5.66661,4.22218,6.6666,5.3983,12.2168,114.00801,7240.9798,89.349,173.879,64.3741,5.66661,6.11105,5.88883,0.0,5.66661,4.99995,3.3333,2.2441,0.0,0.18082949308755764,0.25499999999999995,0.18999999999999995,0.29999999999999993,1.000000000555731,0.9999999997544365,0.4384923461471002,0.7076923031675281,0.9999999999776155,1.000000000023005,0.9999999999378636,0.25499999999999995,0.2749999999999999,0.2649999999999999,0.0,0.25499999999999995,0.22499999999999995,0.14999999999999997,1.0000000003119283,0.0,11.574367,285.79374,3575.7365,2373.4075,-122.82743,-56.193897,-78.161719,-28.935919,-23.197481,-5.2950533,-38.424906,453.87309,4329.3252,1872.7507,-4230.4609,236.02058,5327.0128,5376.0854,-230.78173,11.574367,1826.03861,.
