Figs3-5, disc 0.03, temp0 971.25, tau 1.0, ffi removal, Wpt fitted, 2025-2125. Solve status Optimal. Total revenue 0.013516388651623856
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mtC,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mtC,temp change,Capt pi
2025.0,513.2,0.33333,0.22222,0.44444,5.3983,12.2168,169.85775,9992.1229,89.349,173.879,64.3741,0.33333,0.44444,0.44444,1.162,0.33333,0.88888,0.22222,2.2441,0.0,0.13514154048716265,0.014999999999999998,0.009999999999999998,0.019999999999999997,1.0000000005557308,0.9999999997544363,0.653299038451488,0.9765734284514903,0.9999999999776161,1.000000000023005,0.999999999937863,0.014999999999999998,0.019999999999999997,0.019999999999999997,0.15915627996164922,0.014999999999999998,0.039999999999999994,0.009999999999999998,1.000000000311929,0.0,6.8330376,165.56048,2400.9414,1274.4803,-27.28229,-12.508705,-13.969699,-6.8330376,-2.5140445,-0.8464147,-5.392217,262.55239,2461.8308,1069.3696,-851.28626,136.73567,3968.0527,4117.0775,-50.889446,6.8330376,974.3264548,.
2026.0,513.2,0.44444,0.22222,0.55555,5.3983,12.2168,169.85775,9992.1229,89.349,173.879,64.3741,0.44444,0.55555,0.44444,1.136,0.44444,0.88888,0.22222,2.2441,0.0,0.13514154048716262,0.019999999999999997,0.009999999999999998,0.024999999999999994,1.000000000555731,0.9999999997544367,0.653299038451488,0.9765734284514889,0.9999999999776159,1.0000000000230043,0.9999999999378631,0.019999999999999997,0.024999999999999994,0.019999999999999997,0.15559512395562264,0.019999999999999997,0.039999999999999994,0.009999999999999998,1.000000000311929,0.0,6.8351529,165.65141,2393.3026,1278.0437,-26.991086,-12.509371,-13.977098,-6.8351529,-2.486197,-0.85180652,-3.0192471,262.69372,2467.1016,1072.2744,-855.68115,136.81083,3939.0432,4085.7917,-46.091207,6.8351529,979.6975451,.
2027.0,513.2,0.44444,0.33333,0.66666,5.3983,12.2168,169.85775,9992.1229,89.349,173.879,64.3741,0.55555,0.66666,0.55555,1.087,0.55555,0.99999,0.33333,2.2441,0.0,0.13514154048716265,0.019999999999999997,0.014999999999999998,0.029999999999999995,1.0000000005557308,0.9999999997544365,0.6532990384514878,0.9765734284514928,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.024999999999999994,0.029999999999999995,0.024999999999999994,0.1488837145596495,0.024999999999999994,0.04499999999999999,0.014999999999999998,1.0000000003119278,0.0,6.8390493,165.73579,2385.4917,1281.7708,-27.027727,-12.440843,-14.175754,-6.8390493,-2.4824174,-0.84175224,-5.4017752,262.82159,2472.505,1075.0943,-859.92344,136.88065,3909.4679,4053.8263,-50.732646,6.8390493,986.464033,.
2028.0,600.5,0.55555,0.44444,0.77777,5.3983,12.2168,169.85775,9992.1229,89.349,173.879,64.3741,0.55555,0.77777,0.66666,1.064,0.55555,1.1111,0.33333,2.2441,0.0,0.1581303489137591,0.024999999999999994,0.019999999999999997,0.03499999999999999,1.0000000005557301,0.9999999997544371,0.6532990384514878,0.9765734284514913,0.9999999999776156,1.0000000000230045,0.9999999999378628,0.024999999999999994,0.03499999999999999,0.029999999999999995,0.1457334611697029,0.024999999999999994,0.04999999999999999,0.014999999999999998,1.0000000003119294,0.0,6.8435095,165.81844,2377.4864,1285.9475,-27.062735,-12.495797,-14.279513,-6.8435095,-2.5157864,-0.84541088,-5.4155951,262.94894,2477.964,1077.7739,-864.25718,136.94901,3879.5446,4021.2973,-50.766924,6.8435095,994.051066,.
2029.0,600.5,0.66666,0.44444,0.88888,5.3983,12.2168,169.85775,9992.1229,89.349,173.879,64.3741,0.66666,0.88888,0.77777,1.042,0.66666,1.1111,0.44444,2.2441,0.0,0.1581303489137591,0.029999999999999995,0.019999999999999997,0.039999999999999994,1.0000000005557308,0.9999999997544368,0.6532990384514877,0.9765734284514913,0.9999999999776154,1.0000000000230045,0.9999999999378636,0.029999999999999995,0.039999999999999994,0.03499999999999999,0.14272017531844972,0.029999999999999995,0.04999999999999999,0.019999999999999997,1.0000000003119283,0.0,6.8494772,165.90257,2369.2688,1290.5848,-26.976087,-15.178152,-14.481491,-6.8494772,-4.6902458,-1.1029943,-5.4589876,263.08154,2483.4792,1080.3042,-868.69287,137.0185,3849.2509,3988.2773,-50.846307,6.8494772,1010.2861829999999,.
2030.0,600.5,0.77777,0.55555,0.99999,5.3983,12.2168,169.85775,9992.1229,89.349,173.879,64.3741,0.77777,0.88888,0.88888,1.02,0.77777,1.22221,0.44444,2.2441,0.0,0.15813034891375904,0.03499999999999999,0.024999999999999994,0.04499999999999999,1.0000000005557308,0.9999999997544365,0.653299038451488,0.9765734284514909,0.9999999999776162,1.0000000000230047,0.999999999937863,0.03499999999999999,0.039999999999999994,0.039999999999999994,0.13970688946719645,0.03499999999999999,0.054999999999999986,0.019999999999999997,1.0000000003119287,0.0,6.8514549,165.98471,2360.8698,1295.6845,-27.010737,-12.454142,-14.487123,-6.8514549,-2.4536067,-0.84587495,-5.4225771,263.21052,2489.0299,1082.6832,-868.97955,137.08637,3818.334,3954.7107,-50.695245,6.8514549,1045.873939,.
2031.0,600.5,0.88888,0.66666,1.1111,5.3983,12.2168,169.85775,9934.8819,89.349,173.879,64.3741,0.88888,0.99999,0.99999,0.979,0.88888,1.33332,0.55555,2.2441,0.0,0.15813034891375902,0.039999999999999994,0.029999999999999995,0.04999999999999999,1.0000000005557312,0.9999999997544367,0.653299038451488,0.9709790177164117,0.9999999999776166,1.0000000000230045,0.9999999999378631,0.039999999999999994,0.04499999999999999,0.04499999999999999,0.13409122038076984,0.039999999999999994,0.05999999999999999,0.024999999999999994,1.0000000003119285,0.0,6.8547413,166.06995,2352.3088,1301.2053,-27.082323,-15.047148,-14.688643,-6.8547413,-4.716088,-1.0928944,-7.8169898,263.34914,2494.6086,1084.9111,-873.39901,137.15669,3787.0838,3920.531,-50.743227,6.8547413,1087.8930599999999,.
2032.0,600.5,0.99999,0.77777,1.22221,5.3983,12.2168,169.85775,9934.8819,89.349,173.879,64.3741,0.99999,1.1111,1.1111,0.96,0.99999,1.33332,0.66666,2.2441,0.0,0.15813034891375907,0.04499999999999999,0.03499999999999999,0.054999999999999986,1.0000000005557306,0.9999999997544368,0.6532990384514877,0.9709790177164099,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.04499999999999999,0.04999999999999999,0.04999999999999999,0.13148883714559664,0.04499999999999999,0.05999999999999999,0.029999999999999995,1.000000000311929,0.0,6.8605688,166.71747,2343.5854,1306.7303,-27.035886,-12.469909,-14.79403,-6.8605688,-2.4997244,-0.8517447,-5.4434402,264.66142,2500.2211,1086.9883,-873.81247,137.68491,3755.7597,3885.7654,-50.693777,6.8605688,1130.9963599999999,.
2033.0,600.5,1.1111,0.77777,1.33332,5.3983,12.2168,169.85775,9934.8819,89.349,173.879,64.3741,1.1111,1.22221,1.22221,0.923,1.1111,1.44443,0.66666,2.2441,0.0,0.1581303489137591,0.04999999999999999,0.03499999999999999,0.05999999999999999,1.0000000005557315,0.9999999997544361,0.653299038451488,0.9709790177164115,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.04999999999999999,0.054999999999999986,0.054999999999999986,0.1264210382139434,0.04999999999999999,0.06499999999999999,0.029999999999999995,1.0000000003119291,0.0,6.8637183,167.5742,2334.7001,1312.7148,-27.070538,-15.10093,-14.993571,-6.8637183,-4.7116048,-1.103628,-7.8841599,266.32056,2505.8951,1088.9147,-878.22224,138.38534,3724.0403,3850.4739,-50.744469,6.8637183,1173.90967,.
2034.0,600.5,1.22221,0.88888,1.44443,5.3983,12.2168,169.85775,9934.8819,89.349,173.879,64.3741,1.22221,1.44443,1.33332,0.906,1.22221,1.55554,0.77777,2.2441,0.0,0.15813034891375907,0.054999999999999986,0.039999999999999994,0.06499999999999999,1.0000000005557308,0.9999999997544365,0.6532990384514877,0.9709790177164096,0.9999999999776154,1.0000000000230038,0.9999999999378628,0.054999999999999986,0.06499999999999999,0.05999999999999999,0.12409259005615686,0.054999999999999986,0.06999999999999998,0.03499999999999999,1.0000000003119294,0.0,6.8672217,168.41942,2325.647,1319.2039,-27.008969,-15.058311,-15.096393,-6.8672217,-4.7083214,-1.0948447,-7.8391362,267.83326,2511.6334,1090.6964,-882.54186,139.07931,3691.6981,3814.6502,-50.771612,6.8672217,1220.40512,.
