Figs3-5, disc 0.03, temp0 971.25, tau 2.5, ffi removal, Wpt fitted, 2025-2125. Solve status Optimal. Total revenue -0.005060477909864858
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mtC,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mtC,temp change,Capt pi
2025.0,600.5,1.88887,1.66665,2.11109,5.3983,12.2168,142.19242,9369.6276,89.349,173.879,64.3741,1.99998,2.11109,1.99998,0.214,1.99998,2.77775,1.66665,2.2441,0.0,0.15813034891375907,0.08499999999999998,0.07499999999999998,0.09499999999999997,1.0000000005557308,0.9999999997544363,0.5468939230685095,0.9157342679047421,0.9999999999776161,1.000000000023005,0.999999999937863,0.08999999999999998,0.09499999999999997,0.08999999999999998,0.02931105328037258,0.08999999999999998,0.12499999999999999,0.07499999999999998,1.000000000311929,0.0,10.87371,263.02784,3756.1412,2020.3356,-106.69051,-48.780278,-56.075986,-27.184276,-10.140312,-3.4180331,-22.031643,417.05153,3898.3857,1697.0151,-3394.0956,217.23512,6317.6373,6412.8348,-199.2082,10.87371,973.8273594,.
2026.0,600.5,2.11109,1.77776,2.33331,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.11109,2.2222,2.2222,0.194,2.11109,2.88886,1.77776,2.2441,0.0,0.15813034891375904,0.09499999999999997,0.07999999999999999,0.10499999999999998,1.000000000555731,0.9999999997544367,0.5468939230685095,0.9097902126071147,0.9999999999776159,1.0000000000230043,0.9999999999378631,0.09499999999999997,0.09999999999999998,0.09999999999999998,0.026571702506505986,0.09499999999999997,0.12999999999999998,0.07999999999999999,1.000000000311929,0.0,10.885661,263.08048,3743.1182,2025.995,-105.97311,-48.778247,-56.09094,-27.214153,-10.008022,-3.4199208,-11.671668,417.13598,3906.7161,1701.5635,-3411.7039,217.27857,6264.441,6359.0288,-178.81634,10.885661,978.3219505999999,.
2027.0,600.5,2.2222,1.88887,2.44442,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.2222,2.44442,2.33331,0.174,2.2222,2.99997,1.77776,2.2441,0.0,0.15813034891375907,0.09999999999999998,0.08499999999999998,0.10999999999999997,1.0000000005557308,0.9999999997544365,0.5468939230685094,0.9097902126071182,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.09999999999999998,0.10999999999999997,0.10499999999999998,0.023832351732639385,0.09999999999999998,0.13499999999999995,0.07999999999999999,1.0000000003119278,0.0,10.886144,263.13036,3729.8275,2031.9444,-105.70408,-48.542613,-56.923575,-27.21536,-9.9994765,-3.3931441,-21.789979,417.21215,3915.3063,1705.9937,-3429.1305,217.31984,6210.172,6304.1192,-198.79181,10.886144,983.985773,.
2028.0,600.5,2.33331,1.99998,2.55553,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,2.33331,2.55553,2.44442,0.15,2.33331,3.11108,1.88887,2.2441,0.0,0.1581303489137591,0.10499999999999998,0.08999999999999998,0.11499999999999998,1.0000000005557301,0.9999999997544371,0.5468939230685094,0.9097902126071169,0.9999999999776156,1.0000000000230045,0.9999999999378628,0.10499999999999998,0.11499999999999998,0.10999999999999997,0.020545130803999466,0.10499999999999998,0.13999999999999996,0.08499999999999998,1.0000000003119294,0.0,10.886798,263.17696,3716.2439,2038.6952,-105.89734,-48.623856,-57.352565,-27.216996,-10.153962,-3.3959983,-21.867458,417.28034,3924.023,1710.1971,-3446.7171,217.35846,6155.1561,6248.3178,-198.89482,10.886798,990.333402,.
2029.0,600.5,2.44442,2.11109,2.77775,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,2.44442,2.77775,2.66664,0.13,2.44442,3.22219,1.99998,2.2441,0.0,0.1581303489137591,0.10999999999999997,0.09499999999999997,0.12499999999999999,1.0000000005557308,0.9999999997544368,0.5468939230685093,0.9024475497390044,0.9999999999776154,1.0000000000230045,0.9999999999378636,0.10999999999999997,0.12499999999999999,0.11999999999999998,0.017805780030132883,0.10999999999999997,0.14499999999999996,0.08999999999999998,1.0000000003119283,0.0,10.888404,263.22335,3702.3176,2046.2535,-105.75944,-59.64983,-58.185319,-27.22101,-19.416767,-4.4759987,-21.953981,417.3499,3932.8603,1714.1576,-3464.1533,217.39687,6099.4667,6191.7269,-199.01693,10.888404,1004.637122,.
2030.0,600.5,2.66664,2.2222,2.88886,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,2.66664,2.88886,2.77775,0.111,2.66664,3.3333,2.11109,2.2441,0.0,0.15813034891375904,0.11999999999999998,0.09999999999999998,0.12999999999999998,1.0000000005557308,0.9999999997544365,0.5468939230685095,0.9024475497390039,0.9999999999776162,1.0000000000230047,0.999999999937863,0.11999999999999998,0.12999999999999998,0.12499999999999999,0.015203396794959613,0.11999999999999998,0.14999999999999997,0.09499999999999997,1.0000000003119287,0.0,10.890904,263.28363,3688.1073,2054.6188,-105.65212,-48.455135,-58.200758,-27.227261,-9.8201159,-3.4075309,-21.782938,417.45048,3941.7819,1717.881,-3464.9912,217.44654,6042.9532,6134.2655,-198.67745,10.890904,1036.758922,.
2031.0,600.5,2.77775,2.33331,3.11108,5.3983,12.2168,142.19242,9165.7067,89.349,173.879,64.3741,2.77775,3.11108,2.99997,0.093,2.77775,3.44441,2.2222,2.2441,0.0,0.15813034891375902,0.12499999999999999,0.10499999999999998,0.13999999999999996,1.0000000005557312,0.9999999997544367,0.5468939230685095,0.8958041955428513,0.9999999999776166,1.0000000000230045,0.9999999999378631,0.12499999999999999,0.13999999999999996,0.13499999999999995,0.012737981098479668,0.12499999999999999,0.15499999999999997,0.09999999999999998,1.0000000003119285,0.0,10.892719,263.34009,3673.6654,2063.7159,-105.78922,-59.69873,-59.044017,-27.231797,-19.401934,-4.467364,-32.199291,417.54393,3950.7763,1721.3575,-3482.5302,217.49307,5985.5322,6075.8574,-198.73096,10.892719,1074.6625099999999,.
2032.0,600.5,2.99997,2.44442,3.3333,5.3983,12.2168,142.19242,9165.7067,89.349,173.879,64.3741,2.99997,3.22219,3.11108,0.078,2.99997,3.55552,2.2222,2.2441,0.0,0.15813034891375907,0.13499999999999995,0.10999999999999997,0.14999999999999997,1.0000000005557306,0.9999999997544368,0.5468939230685093,0.8958041955428496,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.13499999999999995,0.14499999999999996,0.13999999999999996,0.010683468018079728,0.13499999999999995,0.15999999999999998,0.09999999999999998,1.000000000311929,0.0,10.89469,264.36599,3658.9727,2072.8457,-105.89798,-48.578069,-59.477664,-27.236724,-10.034954,-3.4136721,-22.006707,419.66026,3959.8466,1724.5913,-3483.5414,218.3291,5927.2605,6016.5309,-198.77961,10.89469,1113.52658,.
2033.0,600.5,3.11108,2.66664,3.55552,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.22219,3.44441,3.3333,0.06,3.22219,3.66663,2.33331,2.2441,0.0,0.1581303489137591,0.13999999999999996,0.11999999999999998,0.15999999999999998,1.0000000005557315,0.9999999997544361,0.5054436153768395,0.8902097945812046,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.14499999999999996,0.15499999999999997,0.14999999999999997,0.008218052321599787,0.14499999999999996,0.16499999999999998,0.10499999999999998,1.0000000003119291,0.0,10.898385,265.75533,3643.9917,2082.7744,-106.02066,-59.914865,-60.316135,-27.245962,-19.502418,-4.5104262,-32.408216,422.38304,3969.0309,1727.5767,-3501.5089,219.46422,5868.2092,5956.3438,-198.65722,10.898385,1152.03291,.
2034.0,600.5,3.3333,2.77775,3.77774,5.3983,12.2168,131.41534,9108.4658,89.349,173.879,64.3741,3.3333,3.66663,3.44441,0.042,3.3333,3.77774,2.44442,2.2441,0.0,0.15813034891375907,0.14999999999999997,0.12499999999999999,0.16999999999999996,1.0000000005557308,0.9999999997544365,0.5054436153768392,0.8902097945812029,0.9999999999776154,1.0000000000230038,0.9999999999378628,0.14999999999999997,0.16499999999999998,0.15499999999999997,0.0057526366251198545,0.14999999999999997,0.16999999999999996,0.10999999999999997,1.0000000003119294,0.0,10.900559,267.13079,3628.7315,2093.5822,-105.75298,-59.816206,-60.74316,-27.251397,-19.42125,-4.4881464,-32.422899,424.86494,3978.3357,1730.3181,-3519.161,220.59305,5808.3966,5895.3182,-199.09671,10.900559,1193.50415,.
2035.0,600.5,3.55552,2.88886,3.99996,5.3983,12.2168,131.41534,9029.7595,89.349,173.879,64.3741,3.55552,3.77774,3.66663,0.024,3.55552,3.88885,2.55553,2.2441,0.0,0.15813034891375907,0.15999999999999998,0.12999999999999998,0.17999999999999997,1.0000000005557301,0.9999999997544362,0.5054436153768394,0.8825174871505461,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.15999999999999998,0.16999999999999996,0.16499999999999998,0.0032872209286399154,0.15999999999999998,0.17499999999999996,0.11499999999999998,1.0000000003119283,0.0,10.903997,268.49196,3613.1759,2105.3736,-105.7813,-48.661081,-61.173984,-27.259991,-19.517462,-4.4857501,-22.028795,427.10545,3987.7399,1732.8266,-3519.9738,221.71555,5747.8545,5833.477,-198.92893,10.903997,1236.9564599999999,.
2036.0,686.7,3.77774,2.99997,4.22218,5.3983,12.2168,131.41534,9029.7595,89.349,173.879,64.3741,3.77774,3.99996,3.88885,0.006,3.77774,3.99996,2.66664,2.2441,0.0,0.1808294930875576,0.16999999999999996,0.13499999999999995,0.18999999999999995,1.0000000005557306,0.9999999997544367,0.5054436153768395,0.8825174871505463,0.9999999999776161,1.0000000000230052,0.999999999937863,0.16999999999999996,0.17999999999999997,0.17499999999999996,0.0008218052321599787,0.16999999999999996,0.17999999999999997,0.11999999999999998,1.0000000003119291,0.0,10.905004,269.84763,3597.2151,2117.9524,-105.64034,-48.510858,-61.605068,-27.262509,-10.112595,-3.4214575,-21.934314,429.12719,3997.3669,1735.0853,-3520.6706,222.83806,5686.4682,5770.6622,-178.33489,10.905004,1272.23911,.
