Short auctions, disc 0.03, temp0 895.953, tau 1.5, ffi removal, Wpt fitted, 2025-2125
Year,Agriculture mtC,Black_walnut_10 mhectares,Black_walnut_150 mhectares,Black_walnut_55 mhectares,C2F6 kt,CF4 kt,CH4 mt,Carbon mtC,HFC125 kt,HFC134a kt,HFC143a kt,Loblolly_pine_10 mhectares,Loblolly_pine_150 mhectares,Loblolly_pine_24 mhectares,N2O mt,Ponderosa_pine_10 mhectares,Ponderosa_pine_103 mhectares,Ponderosa_pine_150 mhectares,SF6 kt,Seaweed mtC,Agriculture % max bid,Black_walnut_10 % max bid,Black_walnut_150 % max bid,Black_walnut_55 % max bid,C2F6 % max bid,CF4 % max bid,CH4 % max bid,Carbon % max bid,HFC125 % max bid,HFC134a % max bid,HFC143a % max bid,Loblolly_pine_10 % max bid,Loblolly_pine_150 % max bid,Loblolly_pine_24 % max bid,N2O % max bid,Ponderosa_pine_10 % max bid,Ponderosa_pine_103 % max bid,Ponderosa_pine_150 % max bid,SF6 % max bid,Seaweed % max bid,Agriculture $M/mtC,Black_walnut_10 $M/mhectares,Black_walnut_150 $M/mhectares,Black_walnut_55 $M/mhectares,C2F6 $M/kt,CF4 $M/kt,CH4 $M/mt,Carbon $M/mtC,HFC125 $M/kt,HFC134a $M/kt,HFC143a $M/kt,Loblolly_pine_10 $M/mhectares,Loblolly_pine_150 $M/mhectares,Loblolly_pine_24 $M/mhectares,N2O $M/mt,Ponderosa_pine_10 $M/mhectares,Ponderosa_pine_103 $M/mhectares,Ponderosa_pine_150 $M/mhectares,SF6 $M/kt,Seaweed $M/mtC,temp change,Capt pi
2025.0,686.7,5.44439,5.1031611,6.33327,5.3983,12.2168,142.19242,9308.8091,89.349,173.879,64.3741,5.44439,6.22216,6.11105,0.166,5.44439,6.99993,4.88884,2.2441,0.0,0.18082949308755764,0.24499999999999997,0.2296445459454594,0.2849999999999999,1.0000000005557308,0.9999999997544363,0.5468939230685095,0.9097902126071159,0.9999999999776161,1.000000000023005,0.999999999937863,0.24499999999999997,0.2799999999999999,0.2749999999999999,0.02273661142309275,0.24499999999999997,0.31499999999999995,0.21999999999999995,1.000000000311929,0.0,19.751091,476.85132,6865.86,3877.2347,-112.85665,-51.525931,-61.049351,-29.626636,-10.865623,-3.7086826,-24.019537,756.0108,7397.6502,3257.1828,-3677.168,393.83403,11491.646,11491.646,-212.20225,19.751091,1013.67201,.
2026.0,686.7,5.77772,5.22217,6.55549,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,5.77772,6.44438,6.44438,0.146,5.66661,7.22215,4.99995,2.2441,0.0,0.1808294930875576,0.25999999999999995,0.23499999999999996,0.29499999999999993,1.000000000555731,0.9999999997544367,0.5468939230685095,0.9024475497390021,0.9999999999776159,1.0000000000230043,0.9999999999378631,0.25999999999999995,0.2899999999999999,0.2899999999999999,0.01999726064922615,0.25499999999999995,0.32499999999999996,0.22499999999999995,1.000000000311929,0.0,19.751091,476.85132,6838.1686,3886.6961,-112.85665,-51.525931,-61.049351,-29.626636,-10.865623,-3.7086826,-12.009768,756.0108,7415.5109,3272.826,-3696.6239,393.83403,11392.124,11392.124,-188.62422,19.751091,1050.31383,.
2027.0,686.7,5.66661,5.11106,6.44438,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,5.77772,6.33327,6.33327,0.15,5.66661,6.88882,4.77773,2.2441,0.0,0.18082949308755764,0.25499999999999995,0.22999999999999995,0.2899999999999999,1.0000000005557308,0.9999999997544365,0.5468939230685094,0.9024475497390056,0.9999999999776154,1.0000000000230052,0.9999999999378634,0.25999999999999995,0.2849999999999999,0.2849999999999999,0.02054513080399947,0.25499999999999995,0.30999999999999994,0.21499999999999994,1.0000000003119278,0.0,18.874942,461.29686,6507.937,3723.256,-107.85038,-49.240265,-59.245747,-28.312413,-10.38363,-3.5441673,-22.954042,734.15471,7102.7231,3141.4427,-3551.2364,380.92304,10790.033,10790.033,-202.78906,18.874942,1062.13791,.
2028.0,686.7,5.99994,5.33328,6.77771,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,6.11105,6.6475591,6.55549,0.13,6.11105,7.11104,4.99995,2.2441,0.0,0.18082949308755766,0.2699999999999999,0.23999999999999996,0.30499999999999994,1.0000000005557301,0.9999999997544371,0.5468939230685094,0.9024475497390044,0.9999999999776156,1.0000000000230045,0.9999999999378628,0.2749999999999999,0.2991431509315092,0.29499999999999993,0.017805780030132872,0.2749999999999999,0.31999999999999995,0.22499999999999995,1.0000000003119294,0.0,18.874942,467.77475,6480.1619,3741.0672,-107.85038,-49.240265,-59.698004,-28.312413,-10.38363,-3.5441673,-22.954042,746.8006,7118.4477,3154.0886,-3569.8292,386.21629,10691.713,10691.713,-202.78906,18.874942,1074.1909,.
2029.0,686.7,5.99994,5.11106,6.6666,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,6.11105,6.5349265,6.44438,0.134,5.99994,6.88882,4.77773,2.2441,0.0,0.18082949308755766,0.2699999999999999,0.22999999999999995,0.29999999999999993,1.0000000005557308,0.9999999997544368,0.5468939230685093,0.9024475497390044,0.9999999999776154,1.0000000000230045,0.9999999999378636,0.2749999999999999,0.29407463324633243,0.2899999999999999,0.018353650184906204,0.2699999999999999,0.30999999999999994,0.21499999999999994,1.0000000003119283,0.0,18.061667,453.75527,6173.9315,3596.9132,-103.20337,-58.898277,-57.991304,-27.0925,-19.872449,-4.5219436,-21.965008,725.62169,6825.8728,3029.1855,-3433.8057,374.61271,10135.656,10135.656,-194.05137,18.061667,1085.95608,.
2030.0,686.7,6.44438,5.33328,6.99993,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,6.55549,6.77771,6.77771,0.118,6.44438,7.11104,4.88884,2.2441,0.0,0.1808294930875576,0.2899999999999999,0.23999999999999996,0.31499999999999995,1.0000000005557308,0.9999999997544365,0.5468939230685095,0.9024475497390039,0.9999999999776162,1.0000000000230047,0.999999999937863,0.29499999999999993,0.30499999999999994,0.30499999999999994,0.01616216956581292,0.2899999999999999,0.31999999999999995,0.21999999999999995,1.0000000003119287,0.0,18.061667,459.82809,6146.2415,3613.9486,-103.20337,-47.118622,-57.991304,-27.0925,-9.9362243,-3.3914577,-21.965008,735.5185,6839.1577,3039.0823,-3433.8057,379.62326,10037.66,10037.66,-194.05137,18.061667,1097.87554,.
2031.0,686.7,6.33327,5.22217,6.88882,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,6.44438,6.6666,6.6666,0.126,6.33327,6.8556952,4.77773,2.2441,0.0,0.18082949308755758,0.2849999999999999,0.23499999999999996,0.30999999999999994,1.0000000005557312,0.9999999997544367,0.5468939230685095,0.9024475497390041,0.9999999999776166,1.0000000000230045,0.9999999999378631,0.2899999999999999,0.29999999999999993,0.29999999999999993,0.01725790987535955,0.2849999999999999,0.30850936909369087,0.21499999999999994,1.0000000003119285,0.0,17.232677,444.45702,5838.0086,3464.8843,-98.466566,-56.194978,-56.155448,-25.849015,-18.960348,-4.3143965,-31.435295,710.15091,6537.3501,2907.9863,-3293.1768,366.95055,9476.9718,9476.9718,-185.14485,17.232677,1110.3611799999999,.
2032.0,686.7,6.77771,5.33328,7.22215,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,6.77771,6.88882,6.99993,0.108,6.77771,6.99993,4.88884,2.2441,0.0,0.18082949308755764,0.30499999999999994,0.23999999999999996,0.32499999999999996,1.0000000005557306,0.9999999997544368,0.5468939230685093,0.9024475497390024,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.30499999999999994,0.30999999999999994,0.31499999999999995,0.014792494178879623,0.30499999999999994,0.31499999999999995,0.21999999999999995,1.000000000311929,0.0,17.232677,450.13094,5810.9785,3481.692,-98.466566,-44.955983,-56.568356,-25.849015,-9.4801739,-3.2357974,-20.956863,717.49045,6548.6019,2915.3258,-3293.1768,371.67533,9376.3235,9376.3235,-185.14485,17.232677,1123.3607,.
2033.0,686.7,6.77771,5.22217,7.11104,5.3983,12.2168,142.19242,9233.6803,89.349,173.879,64.3741,6.77771,6.77771,6.88882,0.111,6.77771,6.77771,4.66662,2.2441,0.0,0.1808294930875577,0.30499999999999994,0.23499999999999996,0.31999999999999995,1.0000000005557315,0.9999999997544361,0.5468939230685095,0.9024475497390039,0.9999999999776155,1.0000000000230047,0.9999999999378631,0.30499999999999994,0.30499999999999994,0.30999999999999994,0.015203396794959606,0.30499999999999994,0.30499999999999994,0.20999999999999996,1.0000000003119291,0.0,16.520793,436.03659,5543.6202,3353.0948,-94.398903,-53.873559,-55.023213,-24.78119,-18.177094,-4.1361684,-30.1367,693.56184,6287.5698,2800.6044,-3173.4093,360.07189,8891.1094,8891.1094,-177.4965,16.520793,1137.4641,.
2034.0,686.7,7.11104,5.44439,7.44437,5.3983,12.2168,142.19242,9165.7067,89.349,173.879,64.3741,7.11104,7.11104,7.11104,0.093,7.11104,6.99993,4.862783,2.2441,0.0,0.18082949308755764,0.31999999999999995,0.24499999999999997,0.3349999999999999,1.0000000005557308,0.9999999997544365,0.5468939230685093,0.8958041955428493,0.9999999999776154,1.0000000000230038,0.9999999999378628,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.012737981098479676,0.31999999999999995,0.31499999999999995,0.2188274232742327,1.0000000003119294,0.0,16.520793,439.45093,5514.3388,3367.2979,-94.398903,-53.873559,-55.419064,-24.78119,-18.177094,-4.1361684,-30.1367,697.89443,6296.3815,2804.937,-3189.6832,362.91718,8791.551,8791.551,-177.4965,16.520793,1151.52448,.
